context_3,context_2,context_1,response
А что за dls?,Deep Learning School,Спасибо,"Опыт круто на соревках фармится
Подругому хз как можно боевой получить (не работая)"
,,,Какой опыт ты получишь на работе джуном/стажиком?
,,Какой опыт ты получишь на работе джуном/стажиком?,@Pashteticus дада паша
,Какой опыт ты получишь на работе джуном/стажиком?,@Pashteticus дада паша,Что
Какой опыт ты получишь на работе джуном/стажиком?,@Pashteticus дада паша,Что,научился в точке js'ы перекладывать?
@Pashteticus дада паша,Что,научился в точке js'ы перекладывать?,Да перекладываю джсоны (будучи дсом) за 250к/месяц
Что,научился в точке js'ы перекладывать?,Да перекладываю джсоны (будучи дсом) за 250к/месяц,А вообще на работе тоже учишься неплохо
,,,Научишься перекладывать жсончики?)
,,,А давно вы занимаетесь всем этим? Ну работаете или участвуете в соревах
,,А давно вы занимаетесь всем этим? Ну работаете или участвуете в соревах,3 года
,,,Не знаю как точнее спросить
,,,Не лезь сюда
,,Не лезь сюда,.
,Не лезь сюда,.,Правильный совет
Не лезь сюда,.,Правильный совет,особенно закончившим школу уже
,,,Игра не стоит свеч
,,Игра не стоит свеч,"Вообще если так подумать, интерес вызывает только rnd. Но копейки получать не очень хочется"
,Игра не стоит свеч,"Вообще если так подумать, интерес вызывает только rnd. Но копейки получать не очень хочется",rnd тоже фигня
Игра не стоит свеч,"Вообще если так подумать, интерес вызывает только rnd. Но копейки получать не очень хочется",rnd тоже фигня,Надо просто больше карточек купить и слоев настакать
"Вообще если так подумать, интерес вызывает только rnd. Но копейки получать не очень хочется",rnd тоже фигня,Надо просто больше карточек купить и слоев настакать,я вообще не понимаю где тут интеллект(речь не только про искуственный)
rnd тоже фигня,Надо просто больше карточек купить и слоев настакать,я вообще не понимаю где тут интеллект(речь не только про искуственный),"Ты про модели или про тех, кто этим занимается?"
Надо просто больше карточек купить и слоев настакать,я вообще не понимаю где тут интеллект(речь не только про искуственный),"Ты про модели или про тех, кто этим занимается?",и то и то
я вообще не понимаю где тут интеллект(речь не только про искуственный),"Ты про модели или про тех, кто этим занимается?",и то и то,"За первое бан, второе верно"
"Ты про модели или про тех, кто этим занимается?",и то и то,"За первое бан, второе верно","первое имеется ввиду, что не обязательно интеллекта нет, просто он здесь не обязателен(см. automl)"
,,,А ты почему здесь?
,,А ты почему здесь?,"Чел, иди егэ ботай"
,А ты почему здесь?,"Чел, иди егэ ботай",Или алгоритмы
,,,Если не стоит свеч
,,Если не стоит свеч,устраняешь конкурентов?)
,Если не стоит свеч,устраняешь конкурентов?),"Я все меньше и меньше понимаю в том, что здесь происходит("
,,,Еще 2 года
,,Еще 2 года,18 задание можно ботать всю жизнь
,,,"Тем более
3 сотки"
,,,"А здесь уже все работают, закончили институты и и тд?"
,,"А здесь уже все работают, закончили институты и и тд?",не все
,,,А?
,,А?,это не тебе обращение
,,,"Я знаю
К чему тут Паша то?"
,,,"Ну, лучше прогать что-то и получать 250к месяц"
,,"Ну, лучше прогать что-то и получать 250к месяц",кста иногда да
,,,"хорош, когда кст грейдирование проходить будешь?"
,,"хорош, когда кст грейдирование проходить будешь?",Точную дату не скажу
,,,кто-то шуток не понимает
,,кто-то шуток не понимает,
,,,обычно таких людей зовут никита
,,обычно таких людей зовут никита,"naer, пошёл ты na...er, задолбали уже, всё я понимаю и сам шутить умею"
,,,А что за холивар кстати? Я так и не понял просто
,,А что за холивар кстати? Я так и не понял просто,"никакого, просто флудилка"
,,,"Жаль, я бы похоливарил сейчас"
,,"Жаль, я бы похоливарил сейчас","Ну, человеку советуют не залезать в помойку"
,"Жаль, я бы похоливарил сейчас","Ну, человеку советуют не залезать в помойку",В какую помойку
,,,"Лучше, чем тьюнить модели чужие"
,,"Лучше, чем тьюнить модели чужие",Зачем тюнить?
,"Лучше, чем тьюнить модели чужие",Зачем тюнить?,Просто берешь и зирошотишь
,,,Хотя пробовать +- одно и тоже из раза в раз тоже не оч круто
,,,это типа суперпупер новое предупреждение за хамство?
,,это типа суперпупер новое предупреждение за хамство?,
,,,т.е. эту работу может выполнить и программа
,,т.е. эту работу может выполнить и программа,Опять тексты этого диалога были созданы рубертом
,,,Смысла приблизительно столько же
,,Смысла приблизительно столько же,"Вы странные просто, я не знаю как с вами по нормальному общаться
Да и чего я вообще распинаюсь блин
За это бан"
,Смысла приблизительно столько же,"Вы странные просто, я не знаю как с вами по нормальному общаться
Да и чего я вообще распинаюсь блин
За это бан",Кикни себя из этого чата
Смысла приблизительно столько же,"Вы странные просто, я не знаю как с вами по нормальному общаться
Да и чего я вообще распинаюсь блин
За это бан",Кикни себя из этого чата,Смешно
"Вы странные просто, я не знаю как с вами по нормальному общаться
Да и чего я вообще распинаюсь блин
За это бан",Кикни себя из этого чата,Смешно,"Не переживай, мы и так тебя все видели"
Кикни себя из этого чата,Смешно,"Не переживай, мы и так тебя все видели",Ты про что?
Смешно,"Не переживай, мы и так тебя все видели",Ты про что?,А о чем шла речь?
"Не переживай, мы и так тебя все видели",Ты про что?,А о чем шла речь?,"Это что за стикеры такие
Это же вообще противозаконно"
Ты про что?,А о чем шла речь?,"Это что за стикеры такие
Это же вообще противозаконно","Ну да, ты соучастник получается"
А о чем шла речь?,"Это что за стикеры такие
Это же вообще противозаконно","Ну да, ты соучастник получается","С чего это
Я не вижу особой связи между этим стикером и моими сообщениями"
"Это что за стикеры такие
Это же вообще противозаконно","Ну да, ты соучастник получается","С чего это
Я не вижу особой связи между этим стикером и моими сообщениями","Никита, ты голых мужчин не видел?"
,,,Не заявил о правонарушении в компетентные органы
,,Не заявил о правонарушении в компетентные органы,Я заявил ответственным за данный чат
,Не заявил о правонарушении в компетентные органы,Я заявил ответственным за данный чат,Они тоже соучастники
,,,Значит покрываешь пропаганду нетрадиционных ценностей
,,Значит покрываешь пропаганду нетрадиционных ценностей,"ничего запрещенного там не видно
так что все ок"
,,,Но это как минимум аморально
,,Но это как минимум аморально,всм аморально
,,,"В этом фрагменте драматической сцены два друга наконец находят друг друга после столь долгой разлуки, Лари даже не захотел находить одежду, он просто рад встрече с другом"
,,,И противоестественно
,,И противоестественно,очень даже естесственно
,И противоестественно,очень даже естесственно,мы же все-таки млщики
,,,У меня тоже самое
,,,и все знают что означает аббревиатура ML
,,и все знают что означает аббревиатура ML,Походу только не я
,и все знают что означает аббревиатура ML,Походу только не я,Machine learning
и все знают что означает аббревиатура ML,Походу только не я,Machine learning,man love
Походу только не я,Machine learning,man love,Оуууу. Но думаю лучше не тут
,,,Предлагаю в будущем все же воздерживаться от подобных гифок. 18- все-таки
,,Предлагаю в будущем все же воздерживаться от подобных гифок. 18- все-таки,Боюсь это невозможно. Только если создать ЕЩЁ ОДИН ЧАТ
,Предлагаю в будущем все же воздерживаться от подобных гифок. 18- все-таки,Боюсь это невозможно. Только если создать ЕЩЁ ОДИН ЧАТ,"Или поставить несколько модераторов, так, чтобы даже ночью хоть один работал"
Предлагаю в будущем все же воздерживаться от подобных гифок. 18- все-таки,Боюсь это невозможно. Только если создать ЕЩЁ ОДИН ЧАТ,"Или поставить несколько модераторов, так, чтобы даже ночью хоть один работал",МОДЕРАТОРСКАЯ ВАХТА ВО ИИ-ФЛУДИЛКА НТО 2022-2023 ПОЕХАЛИ
,,,Так там 16+
,,Так там 16+,Так у нас и младше 14 участники есть
,Так там 16+,Так у нас и младше 14 участники есть,а смысл если сеня опять учавствует...
Так там 16+,Так у нас и младше 14 участники есть,а смысл если сеня опять учавствует...,Что? Он же школу уже закончил
Так у нас и младше 14 участники есть,а смысл если сеня опять учавствует...,Что? Он же школу уже закончил,удачи.
,,,Мне 15 как бы
,,Мне 15 как бы,скиньте мне гифку в лс я 18+ честно
,,,киньте лс гифку
,,киньте лс гифку,Извращенцы
,киньте лс гифку,Извращенцы,"не извращенцы, а продвинутые юзеры интернета"
,,,"я не видел
мужская дружба"
,,,нет)))))))))))))))))))
,,нет))))))))))))))))))),он в 11 класс пошел
,,,"И при этом работает в компании уже даже не на стажировке, всё ок точно?"
,,"И при этом работает в компании уже даже не на стажировке, всё ок точно?","то есть ты считаешь, что тебе в 15 можно участвовать, а ему в 16 нельзя работать?"
,"И при этом работает в компании уже даже не на стажировке, всё ок точно?","то есть ты считаешь, что тебе в 15 можно участвовать, а ему в 16 нельзя работать?",16?
"И при этом работает в компании уже даже не на стажировке, всё ок точно?","то есть ты считаешь, что тебе в 15 можно участвовать, а ему в 16 нельзя работать?",16?,ну да
,,,все ок
,,,он всего лишь миддл
,,он всего лишь миддл,middle ml researcher
,он всего лишь миддл,middle ml researcher,с более низким грейдом вообще сюда пытаться не стоит даже
,,,проблемы?
,,проблемы?,Что-то не верится
,проблемы?,Что-то не верится,"так ему реально 16
и он реально работает в сбере
и он реально пошел в 11 класс"
,,,а еще он лекции читал на ФКНе ВШЭ
,,а еще он лекции читал на ФКНе ВШЭ,и на физтехе по зуму
,,,"Ладно, допустим"
,,"Ладно, допустим",магистрам
,,,Не ну это опять что-то пошло не очень правдоподобно...
,,Не ну это опять что-то пошло не очень правдоподобно...,это правда кстати
,,,но это факт
,,но это факт,"Кстати по его каналу видно, что он делом занят
Поэтому может быть"
,но это факт,"Кстати по его каналу видно, что он делом занят
Поэтому может быть","есть доказательства но мне лень искать
но если сильно припрет я найду"
,,,"Сам в сообщество agirussia затесался в орги и с профессорами некоторыми разговаривал, а в других не верю)"
,,"Сам в сообщество agirussia затесался в орги и с профессорами некоторыми разговаривал, а в других не верю)",объективно сеня покруче будет 99% профессоров агираша
,"Сам в сообщество agirussia затесался в орги и с профессорами некоторыми разговаривал, а в других не верю)",объективно сеня покруче будет 99% профессоров агираша,"Да, многие загоняют, но есть и интересные люди"
,,,"Смешно
Поэтому извиняюсь
Кстати что это за чел?
Так я и знаю, но они подразумевают что-то другое..."
,,"Смешно
Поэтому извиняюсь
Кстати что это за чел?
Так я и знаю, но они подразумевают что-то другое...","Тогда участникам будет не комфортно, ведь их ограничивают"
,,,"Не все, Никита, хотят говорить культурно) и это в целом понятно"
,,"Не все, Никита, хотят говорить культурно) и это в целом понятно","Ну тогда пусть создают чат для не культурного общения (при том, что у них и так их навалом)"
,,,го бота
,,,который будет фильтровать
,,который будет фильтровать,Ну так скучно
,,,Цензура?
,,,На ии или без?
,,На ии или без?,@ValeraTamzari писать не можешь что ли?
,На ии или без?,@ValeraTamzari писать не можешь что ли?,
На ии или без?,@ValeraTamzari писать не можешь что ли?,,"@kondrateva_m , походу реально надо назначать модераторов"
,,,"А то это выглядит как в том анекдоте:
-""первое или второе""
-""Да""
Бан в тг?
Или это шутки такие?"
,,"А то это выглядит как в том анекдоте:
-""первое или второе""
-""Да""
Бан в тг?
Или это шутки такие?","во флудилку?
чел, успокойся"
,,,Ну блин везде должен быть хоть какой-то порядок
,,Ну блин везде должен быть хоть какой-то порядок,.
,,,нет
,,,"Иначе оно всё выльется потом там где, без порядка вообще никак"
,,"Иначе оно всё выльется потом там где, без порядка вообще никак",.
,,,"(Уже часто выливается)
Вот мне нравится система, которая у китайцев
В Корее уже перебор, а Китайцы молодцы"
,,"(Уже часто выливается)
Вот мне нравится система, которая у китайцев
В Корее уже перебор, а Китайцы молодцы","если не нравится здесь, пиши в официальный чат
в чем проблема"
,"(Уже часто выливается)
Вот мне нравится система, которая у китайцев
В Корее уже перебор, а Китайцы молодцы","если не нравится здесь, пиши в официальный чат
в чем проблема","Я не хочу прятаться от беспорядка, я хочу его исправить"
,,,Начни с себя
,,Начни с себя,"У меня с порядком всё более чем нормально(для справки, я это сделал менее чем за 20 минут)"
,Начни с себя,"У меня с порядком всё более чем нормально(для справки, я это сделал менее чем за 20 минут)",ох уж эти спайковые нейронки
,,,есть расписание интенсивов AI-ARROW??
,,есть расписание интенсивов AI-ARROW??,Мы тут иб занимаемся ты о чем
,есть расписание интенсивов AI-ARROW??,Мы тут иб занимаемся ты о чем,аааа понятно
,,,а что такое иб?
,,а что такое иб?,"То,что может в Сириус прокатить"
,а что такое иб?,"То,что может в Сириус прокатить",Понятно
,,,Инфобез
,,,это шутка
,,это шутка,Нет
,,,"тут как бы профиль ии, а не иб"
,,"тут как бы профиль ии, а не иб",мы иб
,"тут как бы профиль ии, а не иб",мы иб,вы шутники
,,,всм?
,,всм?,"так то
мы не шутим"
,всм?,"так то
мы не шутим",а почему чат ии
всм?,"так то
мы не шутим",а почему чат ии,это рил иб
"так то
мы не шутим",а почему чат ии,это рил иб,"если вы иб
мы*"
а почему чат ии,это рил иб,"если вы иб
мы*",да
,,,это же рахные вещи вроде
,,это же рахные вещи вроде,Никита опять все перепутал. Не слушай его
,это же рахные вещи вроде,Никита опять все перепутал. Не слушай его,Просто дурка ещё не приехала
,,,не пон
,,,а кого мне слушать
,,а кого мне слушать,а кто говорит
,,,написано ии значит ии
,,написано ии значит ии,"Идите ботайте, хватит флудить"
,,,почему нельзя флудить в флудилке?
,,почему нельзя флудить в флудилке?,"Британские ученые говорят, что “flooding” продлевает жизнь"
,почему нельзя флудить в флудилке?,"Британские ученые говорят, что “flooding” продлевает жизнь",
,,,"Можно, но желательно на это тратить не всё время... Как минимум"
,,,А то они и ночью бывает сидят
,,А то они и ночью бывает сидят,Иди ботай
,,,"Это флудилка профиля ИИ. Но как заметили другие участники, флудилка на то и флудилка, что тут можно обсуждать разные темы 🤷🏼‍♀️"
,,"Это флудилка профиля ИИ. Но как заметили другие участники, флудилка на то и флудилка, что тут можно обсуждать разные темы 🤷🏼‍♀️","вы о чем, здесь же бдимо, какой иб"
,"Это флудилка профиля ИИ. Но как заметили другие участники, флудилка на то и флудилка, что тут можно обсуждать разные темы 🤷🏼‍♀️","вы о чем, здесь же бдимо, какой иб",Что такое б**мо
"Это флудилка профиля ИИ. Но как заметили другие участники, флудилка на то и флудилка, что тут можно обсуждать разные темы 🤷🏼‍♀️","вы о чем, здесь же бдимо, какой иб",Что такое б**мо,Никита если тебе что-то не нравится ливай
,,,Все деньги все равно в иб
,,Все деньги все равно в иб,Разве?
,Все деньги все равно в иб,Разве?,Да
,,,"да ладно уж, давайте без этого"
,,"да ладно уж, давайте без этого",да
,,,Почему я об этом не знал
,,Почему я об этом не знал,Потому что ты не заработал деньги
,,,в ии никто не выигрывал деньги
,,в ии никто не выигрывал деньги,Так думать надо головой
,,,"Майнить на a100
Чем не деньги"
,,"Майнить на a100
Чем не деньги","А,ну,
Если ты финалист"
,,,И если нет короновируса
,,И если нет короновируса,Или если не начало 2022 года
,,,А тут все шарят за информатику и программирование?
,,А тут все шарят за информатику и программирование?,За информатику-нет
,,,"нет, что это?"
,,,Нууу
,,Нууу,"это был сарказм, потому что здесь задавать этот вопрос вообще не логично"
,Нууу,"это был сарказм, потому что здесь задавать этот вопрос вообще не логично",
,,,Короче это когда сначала Паскаль делаешь а потом такой становишься базовый будто basic
,,Короче это когда сначала Паскаль делаешь а потом такой становишься базовый будто basic,Паскаль это ученый?
,,,"Нееет, это сила света в паскалях короче ну измеряется ээ"
,,,и тут в основном python
,,и тут в основном python,я на плюсах делал
,и тут в основном python,я на плюсах делал,поч не кумир?
и тут в основном python,я на плюсах делал,поч не кумир?,Потому что я на нем делала
я на плюсах делал,поч не кумир?,Потому что я на нем делала,а тогда хорошо
,,,слишком быстрый
,,слишком быстрый,по правилам у каждого свой язык типо
,,,"Кумир, объективно, один из лучших языков программирования. У них даже философия зароет любой другой яп"
,,"Кумир, объективно, один из лучших языков программирования. У них даже философия зароет любой другой яп",а почему тогда его не юзают для повседневных задач?
,"Кумир, объективно, один из лучших языков программирования. У них даже философия зароет любой другой яп",а почему тогда его не юзают для повседневных задач?,Он слишком хорош для них
,,,Он поэтому Кумир
,,Он поэтому Кумир,"по факту
""Не сотвори себе кумира, если это не Кумир"""
,Он поэтому Кумир,"по факту
""Не сотвори себе кумира, если это не Кумир""",с чего ты взял?
,,,мне lisp нравится
,,мне lisp нравится,"""программируемый язык программирования"")"
,,,"Мы просто ещё не нашли достойные задачи, которые будут нормально кодится на кумире"
,,,"Мне тоже, только никак не сяду учить (без сарказма)"
,,"Мне тоже, только никак не сяду учить (без сарказма)",да там то и учить немного... скобочки да макросы и в принципе всё)
,"Мне тоже, только никак не сяду учить (без сарказма)",да там то и учить немного... скобочки да макросы и в принципе всё),а дальше сам клепай свой яп мечты...
,,,Чиллю здесь просто
,,,Я просто первый раз вообще в подобном месте..
,,Я просто первый раз вообще в подобном месте..,...среди умников
,Я просто первый раз вообще в подобном месте..,...среди умников,Это тоже
,,,Никогда и нигде не проходил по олимпиадам информатики или подобного
,,,"Если начать учиться то можно научиться чему то, да?"
,,"Если начать учиться то можно научиться чему то, да?","А ты какой класс,кстати"
,"Если начать учиться то можно научиться чему то, да?","А ты какой класс,кстати",Я в 10
"Если начать учиться то можно научиться чему то, да?","А ты какой класс,кстати",Я в 10,"ну если есть большое желание, то можно нагнать упущенное время"
,,,конечно
,,конечно,"Нет, все куплено
Уже заранее все известно"
,,,Учится бесполезно
,,Учится бесполезно,учитЬся
,Учится бесполезно,учитЬся,Да т9
,,,душнила moment
,,душнила moment,Но в целом пох
