context_3,context_2,context_1,response
,,"Запятыми обычно не выделяется
Ну ясно, овощ ахахахах","достижения, уровень"
,"Запятыми обычно не выделяется
Ну ясно, овощ ахахахах","достижения, уровень","Бля, ладно, ща"
,,,"В Data Science и ИИ в целом всю жизнь шарика чисто в теоретической формате (методы обучения и вся херня), в этом году научилась писать на Python, тексты обрабатывать хоть как-то. Мне нужен кто-то такой же наполовину тупой, как и я ахахахаха"
,,"В Data Science и ИИ в целом всю жизнь шарика чисто в теоретической формате (методы обучения и вся херня), в этом году научилась писать на Python, тексты обрабатывать хоть как-то. Мне нужен кто-то такой же наполовину тупой, как и я ахахахаха","Тут не принято обсуждать дс, все крутые чуваки забанены за такое"
,"В Data Science и ИИ в целом всю жизнь шарика чисто в теоретической формате (методы обучения и вся херня), в этом году научилась писать на Python, тексты обрабатывать хоть как-то. Мне нужен кто-то такой же наполовину тупой, как и я ахахахаха","Тут не принято обсуждать дс, все крутые чуваки забанены за такое",только скидывать угарные стикеры
"В Data Science и ИИ в целом всю жизнь шарика чисто в теоретической формате (методы обучения и вся херня), в этом году научилась писать на Python, тексты обрабатывать хоть как-то. Мне нужен кто-то такой же наполовину тупой, как и я ахахахаха","Тут не принято обсуждать дс, все крутые чуваки забанены за такое",только скидывать угарные стикеры,Не угарите?
,,,"У меня основной профиль был робототехника, прошли в полуфинал, но в финал не вышли, не хватило 7.9 баллов всего"
,,,"О команде можно потом подумать, щас заниматься)"
,,"О команде можно потом подумать, щас заниматься)",У нас просто в старых чатах начали сбор команды прям в мае некоторые
,,,"Кто-то даже резюме скидывал
Что за инженерный блок кстати? Это что-то вроде теории, которая поможет при решении прикладных задач или как?
А ой"
,,"Кто-то даже резюме скидывал
Что за инженерный блок кстати? Это что-то вроде теории, которая поможет при решении прикладных задач или как?
А ой",Абсолютно
,,,Бан
,,Бан,
,,,"там кто-то че-то про команду писал. А в команду можно будет взять кого-то, кто тоже прошёл первый тур? или как"
,,"там кто-то че-то про команду писал. А в команду можно будет взять кого-то, кто тоже прошёл первый тур? или как",Да
,,,"Там вообще по идее тебе команду боты найдут, но не всегда везёт, сокомандник может тупо перестать выходить на связь и приехали
Поэтому часто начинают искать заранее"
,,,А тут обязательно командами участвовать?..
,,А тут обязательно командами участвовать?..,"Не, можно и без команды"
,,,Я в том году так участвовала
,,,"Просто, если повезёт и напарник будет твоего уровня и выше, то круто, конечно, но а если нет, то смысла в этом, кажется, не очень много))"
,,"Просто, если повезёт и напарник будет твоего уровня и выше, то круто, конечно, но а если нет, то смысла в этом, кажется, не очень много))","Хз, на профиле ИРС в том году у нас была команда полу-овощей (ну и один не овощ), а до финала всего 8 баллов не хватило ахахахах"
,"Просто, если повезёт и напарник будет твоего уровня и выше, то круто, конечно, но а если нет, то смысла в этом, кажется, не очень много))","Хз, на профиле ИРС в том году у нас была команда полу-овощей (ну и один не овощ), а до финала всего 8 баллов не хватило ахахахах",:0
,,,Так что наверное с 3 извилинами тоже можно как-то затащить ахах
,,Так что наверное с 3 извилинами тоже можно как-то затащить ахах,
,,,"Ахахахахах они суммируются просто, да :)"
,,"Ахахахахах они суммируются просто, да :)","Здравствуйте. А попыток в инженерном туре больше не станет?
Просто раньше 100 давали, а сейчас всего 5..."
,"Ахахахахах они суммируются просто, да :)","Здравствуйте. А попыток в инженерном туре больше не станет?
Просто раньше 100 давали, а сейчас всего 5...",Это в день
"Ахахахахах они суммируются просто, да :)","Здравствуйте. А попыток в инженерном туре больше не станет?
Просто раньше 100 давали, а сейчас всего 5...",Это в день,"Аааа, спасибо))))"
,,,НТО на открытых данных?
,,НТО на открытых данных?,"так у тебя проходка в финал, не?"
,НТО на открытых данных?,"так у тебя проходка в финал, не?",Да
,,,"Добрый день. Нет.
Обращаю внимание, что не я отвечаю на вопросы в чате. Для этого здесь сегодня появятся наставники.
Не понимаю, о чем вы. Можете вопрос переформулировать, пожалуйста? И повторюсь, что я отвечаю просто так. Не от организаторов как бы) Я не являюсь организатором и модератором чата."
,,"Добрый день. Нет.
Обращаю внимание, что не я отвечаю на вопросы в чате. Для этого здесь сегодня появятся наставники.
Не понимаю, о чем вы. Можете вопрос переформулировать, пожалуйста? И повторюсь, что я отвечаю просто так. Не от организаторов как бы) Я не являюсь организатором и модератором чата.","Коллеги вся информация о данных, в т.ч. информация откуда они взялись, есть в описании задачи"
,"Добрый день. Нет.
Обращаю внимание, что не я отвечаю на вопросы в чате. Для этого здесь сегодня появятся наставники.
Не понимаю, о чем вы. Можете вопрос переформулировать, пожалуйста? И повторюсь, что я отвечаю просто так. Не от организаторов как бы) Я не являюсь организатором и модератором чата.","Коллеги вся информация о данных, в т.ч. информация откуда они взялись, есть в описании задачи","Всем привет!
Меня зовут Ренат - я менеджер проектов Академии ИИ (организатор профиля ""Искусственный интеллект"" НТО)

Мы планируем делать контент для нашего ЮтубКанала и придумали новую онлайн-игру в формате ""Своя игра"" или ""100 к одному"", где юные разработчики играют и отвечают на вопросы/задания по ИИ.

Онлайн-игра запланирована в конце октября и пройдет в режиме онлайн. 
Принять участие могут 12-15 человек. Есть еще 5-6 мест.

Кто хотел бы принять участие?
Напишите, пожалуйста, в личные сообщения ФИО, город (чтобы мы выбрали удобное время подключения)

После чего с вами свяжется режисер и проведет небольшое интервью, чтобы игра получилась интересной и веселой!"
"Добрый день. Нет.
Обращаю внимание, что не я отвечаю на вопросы в чате. Для этого здесь сегодня появятся наставники.
Не понимаю, о чем вы. Можете вопрос переформулировать, пожалуйста? И повторюсь, что я отвечаю просто так. Не от организаторов как бы) Я не являюсь организатором и модератором чата.","Коллеги вся информация о данных, в т.ч. информация откуда они взялись, есть в описании задачи","Всем привет!
Меня зовут Ренат - я менеджер проектов Академии ИИ (организатор профиля ""Искусственный интеллект"" НТО)

Мы планируем делать контент для нашего ЮтубКанала и придумали новую онлайн-игру в формате ""Своя игра"" или ""100 к одному"", где юные разработчики играют и отвечают на вопросы/задания по ИИ.

Онлайн-игра запланирована в конце октября и пройдет в режиме онлайн. 
Принять участие могут 12-15 человек. Есть еще 5-6 мест.

Кто хотел бы принять участие?
Напишите, пожалуйста, в личные сообщения ФИО, город (чтобы мы выбрали удобное время подключения)

После чего с вами свяжется режисер и проведет небольшое интервью, чтобы игра получилась интересной и веселой!","Помогите, я уже не знаю куда обратиться с моим вопросом..."
,,,"Вообщем, я никак не могу понять, для прохождения первого тура нужно участвовать в буткемпе. Сами орги буткемпа пишут, что мол если пройдёшь буткемп на 60 и более процентов автоматом попадёшь во второй этап НТО. Сейчас они продлили срок прохождения буткемпа до 7 ноября. Если начать проходить буткемп с 0 вот с этой  приблизительно секунды и сможешь пройти его на 60 и более процентов, на НТО возьмут или нет? Просто на сайте НТО написано, что образовательный блок уже завершился............"
,,"Вообщем, я никак не могу понять, для прохождения первого тура нужно участвовать в буткемпе. Сами орги буткемпа пишут, что мол если пройдёшь буткемп на 60 и более процентов автоматом попадёшь во второй этап НТО. Сейчас они продлили срок прохождения буткемпа до 7 ноября. Если начать проходить буткемп с 0 вот с этой  приблизительно секунды и сможешь пройти его на 60 и более процентов, на НТО возьмут или нет? Просто на сайте НТО написано, что образовательный блок уже завершился............",Не обязательно
,"Вообщем, я никак не могу понять, для прохождения первого тура нужно участвовать в буткемпе. Сами орги буткемпа пишут, что мол если пройдёшь буткемп на 60 и более процентов автоматом попадёшь во второй этап НТО. Сейчас они продлили срок прохождения буткемпа до 7 ноября. Если начать проходить буткемп с 0 вот с этой  приблизительно секунды и сможешь пройти его на 60 и более процентов, на НТО возьмут или нет? Просто на сайте НТО написано, что образовательный блок уже завершился............",Не обязательно,Что именно?
,,,"хахахааха, сорри, учту в другой раз"
,,,"Этот буткемп проходить не обязательно, но если наберёшь в нем 60% баллов до 7 ноября (что вполне осуществимо), то автоматом пройдешь во второй этап нто"
,,"Этот буткемп проходить не обязательно, но если наберёшь в нем 60% баллов до 7 ноября (что вполне осуществимо), то автоматом пройдешь во второй этап нто","Хоть кто - то ответил нормально, писала в дс буткемпа и нефига. Спасибо!!!!!!!"
,,,Обращайся
,,Обращайся,"кстати кто-нибудь знает сколько раз действует привилегия с аджики, на прохождение во второй этап нто ии? а то мне уже второй раз эта привелегия приходит"
,,,А с какого класса можно участвовать?
,,А с какого класса можно участвовать?,"Лучше участвуй в БДИМО, там организаторы куда более гуманны"
,А с какого класса можно участвовать?,"Лучше участвуй в БДИМО, там организаторы куда более гуманны",Ок спс
А с какого класса можно участвовать?,"Лучше участвуй в БДИМО, там организаторы куда более гуманны",Ок спс,"Никита, а у тебя команда есть?"
"Лучше участвуй в БДИМО, там организаторы куда более гуманны",Ок спс,"Никита, а у тебя команда есть?",Я не участвую я посмотреть только
,,,участвовать запрещено всем
,,участвовать запрещено всем,"8-11 классы
Какое у нас отзывчивое комьюнити🥹🫢, прямо закидали реакциями😘"
,,,Просто так баны не дают
,,Просто так баны не дают,Бан через 3...2...
,Просто так баны не дают,Бан через 3...2...,3...4...
,,,"...и задачки на ML, а не регулярки?)"
,,"...и задачки на ML, а не регулярки?)","Нуууу...
Это если ты не вместил классификатор текстов в 65000 байт."
,"...и задачки на ML, а не регулярки?)","Нуууу...
Это если ты не вместил классификатор текстов в 65000 байт.","О, чет меня и не щелкало раньше, что можно реально попробовать решить инженерку БДИМО просто регулярками, кек"
,,,Хорошая шутка
,,Хорошая шутка,Благо я так каждый шабат делаю
,Хорошая шутка,Благо я так каждый шабат делаю,На бдимо
,,,"Всем привет, я новичок, ищу команду"
,,"Всем привет, я новичок, ищу команду","Павел, а у тебя команда есть?"
,"Всем привет, я новичок, ищу команду","Павел, а у тебя команда есть?",Пока нет
,,,Ищу команду на НТО…
,,Ищу команду на НТО…,Химичка одна
,,,Добавил в список
,,Добавил в список,"В очередь
Правильно
Туда ее"
,,,Какой ты токсичный
,,Какой ты токсичный,Всм химичка классная
,,,"Я же рофлю
Эх"
,,"Я же рофлю
Эх",Привет!))
,,,"""Не олимпиадное движение, а одна большая деревня"""
,,"""Не олимпиадное движение, а одна большая деревня""",Реально кстати
,,,oh no here we go again
,,oh no here we go again,"Никита, нашел команду на ИИ?"
,oh no here we go again,"Никита, нашел команду на ИИ?",Да
,,,С кем?
,,,С Никитой демерзой?
,,С Никитой демерзой?,У меня у же есть сокомандник и его зовут не Никита
,,,"Да, решил по имени сокомадника найти"
,,,ладно я с даней на самом деле
,,ладно я с даней на самом деле,Каким?
,ладно я с даней на самом деле,Каким?,@danasone
,,,Ааа
,,,"По какой причине при загрузке решения может выдаваться ""Ошибка! Input contains NaN.""?"
,,"По какой причине при загрузке решения может выдаваться ""Ошибка! Input contains NaN.""?","Где-то в данных появилось слишком большое число. Можно попробовать перед записью результата проверить наличие таких чисел и заменить их константами.

Что-то из этого:
X = np.nan_to_num(X)
или 
train_x = train_x.replace((np.inf, -np.inf, np.nan), 1).reset_index(drop=True)"
,,,"А можно еще глупый вопрос: в чем измерено расстояние до звезды, если оно отрицательное?  это норм, если стандартная ошибка для Plx кратно больше самой Pix?"
,,,"Но с такой ошибкой ""Ошибка! Input contains NaN.""  грузится и baseline-решение"
,,"Но с такой ошибкой ""Ошибка! Input contains NaN.""  грузится и baseline-решение","Галина, ни у других участников, ни у нас при тестировании с безлайном не возникало такой проблемы. Вы уверены, что грузите именно результат работы безлайна?"
,,,"Может быть все-таки разберетесь. Нашла только одно отличие. Решение, выполненное в colab фактически сохраняет вещественные числа во float32 и проходит проверку. Решение же выполненное в jupiter сохраняет числа во float64,  файл при  этом естественно получается чуть больше, и получаем при проверке ошибку ""Input contains NaN"". К чему это? Насколько понимаю для проверки берется только последний столбец, где только 0 и 1."
,,,А как выставляются баллы за инженерный этап?
,,А как выставляются баллы за инженерный этап?,скор_за_задачу × 100% или это не так работает?
,А как выставляются баллы за инженерный этап?,скор_за_задачу × 100% или это не так работает?,Ноу
А как выставляются баллы за инженерный этап?,скор_за_задачу × 100% или это не так работает?,Ноу,привет артутрик
,,,какого скора хватит для прохода во 2 этап?
,,,0.2
,,0.2,круто
,0.2,круто,"так у тебя проходка, не?"
0.2,круто,"так у тебя проходка, не?",да
,,,"Если у тебя матеша и инфа на сотку
То наверное хватит"
,,"Если у тебя матеша и инфа на сотку
То наверное хватит",я для друга
,,,Должно учитывать кол во участников ещё
,,Должно учитывать кол во участников ещё,"Хм, ну тоже верно... 🤔"
,,,Артурик как жизнь как геометри даш
,,Артурик как жизнь как геометри даш,Балдеж
,,,Аххахахахах
,,,А я с ним спал
,,А я с ним спал,это я с тобой спал офигел
,А я с ним спал,это я с тобой спал офигел,"Это более корректное утверждение, так как кровать была твоей"
А я с ним спал,это я с тобой спал офигел,"Это более корректное утверждение, так как кровать была твоей",Спасибо Паша!
,,,ладно предлагайте я пошутил
,,,надеюсь паша не напишепт что и он со мной спал
,,надеюсь паша не напишепт что и он со мной спал,
,,,Пж не баньте
,,Пж не баньте,кто посмел мой рекорд побить?
,,,"у меня там 17490 уже кстати на другом канале, так что не радуйся особо"
,,"у меня там 17490 уже кстати на другом канале, так что не радуйся особо","Молодец, а как насчёт выйти на улицу и сделать 50 отжиманий?"
,"у меня там 17490 уже кстати на другом канале, так что не радуйся особо","Молодец, а как насчёт выйти на улицу и сделать 50 отжиманий?","50 отжимания в каком формате? Формат ГТО, до низкой планки с полным выпрямлением рук раз 30 с хреном смогу отжаться, подтягивался 16 раз за подход максимально) не очень много, но это для меня даже на хобби последнее время не тянет"
"у меня там 17490 уже кстати на другом канале, так что не радуйся особо","Молодец, а как насчёт выйти на улицу и сделать 50 отжиманий?","50 отжимания в каком формате? Формат ГТО, до низкой планки с полным выпрямлением рук раз 30 с хреном смогу отжаться, подтягивался 16 раз за подход максимально) не очень много, но это для меня даже на хобби последнее время не тянет","Ладно, следующее задание познакомиться с девочкой"
"Молодец, а как насчёт выйти на улицу и сделать 50 отжиманий?","50 отжимания в каком формате? Формат ГТО, до низкой планки с полным выпрямлением рук раз 30 с хреном смогу отжаться, подтягивался 16 раз за подход максимально) не очень много, но это для меня даже на хобби последнее время не тянет","Ладно, следующее задание познакомиться с девочкой","Нет, все реальные 3д девушки это зло, не хочу с ними связываться("
"50 отжимания в каком формате? Формат ГТО, до низкой планки с полным выпрямлением рук раз 30 с хреном смогу отжаться, подтягивался 16 раз за подход максимально) не очень много, но это для меня даже на хобби последнее время не тянет","Ладно, следующее задание познакомиться с девочкой","Нет, все реальные 3д девушки это зло, не хочу с ними связываться(","Всех попрошу в чате поддреживать деловую обстановку. Для неформальных бесед есть флудилка, господа 😜"
,,,не верю
,,не верю,
,не верю,,фотошоп
,,,"я попробую и тут такой же сделать
но это оч сложно
там можно и лучше, если всё идеально сделать, но у меня постоянно в каком-то одном моменте рука дёргается и портит всё
не
блин
ну вот
уже 17170
но щас руки не те уже
забыли всё
я подтверждаю"
,,,А на улицу зачем выходить
,,А на улицу зачем выходить,Если духом ты слаб - можешь отжаться 100 раз дома
,,,Походу они имели ввиду как на той гифке)))
,,Походу они имели ввиду как на той гифке))),
,,,невозможно
,,,"Паша вне конкуренции, он за раз с 6 познакомился"
,,"Паша вне конкуренции, он за раз с 6 познакомился",
,,,"О, какие люди!)"
,,"О, какие люди!)","Оооооо, монетка)"
,"О, какие люди!)","Оооооо, монетка)",0000
"О, какие люди!)","Оооооо, монетка)",0000,"Всех попрошу в чате поддреживать деловую обстановку. Для неформальных бесед есть флудилка, господа 😜"
"Оооооо, монетка)",0000,"Всех попрошу в чате поддреживать деловую обстановку. Для неформальных бесед есть флудилка, господа 😜",Этого не может быть
0000,"Всех попрошу в чате поддреживать деловую обстановку. Для неформальных бесед есть флудилка, господа 😜",Этого не может быть,"Не баньте, я думаю, это было очень важно и близко всем программистам, которые олимпиадки ботают. Всё, молчу"
"Всех попрошу в чате поддреживать деловую обстановку. Для неформальных бесед есть флудилка, господа 😜",Этого не может быть,"Не баньте, я думаю, это было очень важно и близко всем программистам, которые олимпиадки ботают. Всё, молчу","привет, кто нибудь знает где брать model.csv, второй день все не могу разобраться"
