context_3,context_2,context_1,response
,,только если брать название а саму мп3шку из другого места,да можно с торрента скачать дискографию доры и все
,только если брать название а саму мп3шку из другого места,да можно с торрента скачать дискографию доры и все,рутрекера
,,,"а через твой токен
или че там"
,,"а через твой токен
или че там","ты заебешься плеер писать
можешь встроить html виджет лол
если таковые существуют
типа как в саундклауде
АХАХАХ
хорош"
,"а через твой токен
или че там","ты заебешься плеер писать
можешь встроить html виджет лол
если таковые существуют
типа как в саундклауде
АХАХАХ
хорош","бля, я знал что это произойдет
я удалил всю музыку
ну ща попробую качнуть норм
с русскими
после того что я сделал"
"а через твой токен
или че там","ты заебешься плеер писать
можешь встроить html виджет лол
если таковые существуют
типа как в саундклауде
АХАХАХ
хорош","бля, я знал что это произойдет
я удалил всю музыку
ну ща попробую качнуть норм
с русскими
после того что я сделал",😳😳😳
"ты заебешься плеер писать
можешь встроить html виджет лол
если таковые существуют
типа как в саундклауде
АХАХАХ
хорош","бля, я знал что это произойдет
я удалил всю музыку
ну ща попробую качнуть норм
с русскими
после того что я сделал",😳😳😳,"пизда
а была стега там где в шуме было нарисован флаг
в аудиофайле"
"бля, я знал что это произойдет
я удалил всю музыку
ну ща попробую качнуть норм
с русскими
после того что я сделал",😳😳😳,"пизда
а была стега там где в шуме было нарисован флаг
в аудиофайле",конечно
,,,это infinite monkey theorem
,,это infinite monkey theorem,"на самом деле эта теорема изначально была про андефьюз: если каждый участник андефьюза будет пробовать сдать случайный флаг, то рано или поздно они получат правильный флаг"
,,,жду мой синкпад......
,,жду мой синкпад......,крутой
,,,"а его нет
соглы
ток где он
его нет..."
,,"а его нет
соглы
ток где он
его нет...","а я его из таможни своровал
и выкинул
или откуда он едет
ну крч его больше нет"
,"а его нет
соглы
ток где он
его нет...","а я его из таможни своровал
и выкинул
или откуда он едет
ну крч его больше нет","Блин чел
Я же заплачу
Не надо так"
"а его нет
соглы
ток где он
его нет...","а я его из таможни своровал
и выкинул
или откуда он едет
ну крч его больше нет","Блин чел
Я же заплачу
Не надо так","Что-то много плохих иб-новостей за 1 день, да и ещё какой-то странный намёк от Дурова"
"а я его из таможни своровал
и выкинул
или откуда он едет
ну крч его больше нет","Блин чел
Я же заплачу
Не надо так","Что-то много плохих иб-новостей за 1 день, да и ещё какой-то странный намёк от Дурова",Лол
"Блин чел
Я же заплачу
Не надо так","Что-то много плохих иб-новостей за 1 день, да и ещё какой-то странный намёк от Дурова",Лол,Мне это не нравится
,,,Давайте свою локалку строить?
,,Давайте свою локалку строить?,Вот мой айпи 188.134.76.133
,Давайте свою локалку строить?,Вот мой айпи 188.134.76.133,"Рикролл не удался, curl как всегда выручает"
Давайте свою локалку строить?,Вот мой айпи 188.134.76.133,"Рикролл не удался, curl как всегда выручает",Но это рил мой айпи
,,,Го
,,,прошлый пост прочитай лол
,,прошлый пост прочитай лол,"Да, но он хуй знает когда был"
,прошлый пост прочитай лол,"Да, но он хуй знает когда был",и что??
прошлый пост прочитай лол,"Да, но он хуй знает когда был",и что??,Так блять сегодня ещё и Сачкова арестовали
,,,Добавьте меня
,,Добавьте меня,опрос связан с прошлым постом
,Добавьте меня,опрос связан с прошлым постом,)))
Добавьте меня,опрос связан с прошлым постом,))),И вот это
,,,поебать вообще
,,поебать вообще,А я уже к чебурнету готовлюсь
,поебать вообще,А я уже к чебурнету готовлюсь,Уже выкачал все видео с лолями ?
поебать вообще,А я уже к чебурнету готовлюсь,Уже выкачал все видео с лолями ?,Я Википедию качаю
А я уже к чебурнету готовлюсь,Уже выкачал все видео с лолями ?,Я Википедию качаю,да скачай инет просто на флеху и все
,,,Не похоже это на совпадение
,,Не похоже это на совпадение,либераху сжало
,Не похоже это на совпадение,либераху сжало,Не то слово
,,,"а
да похуй
реализуем прокси
на голубях
на границе"
,,"а
да похуй
реализуем прокси
на голубях
на границе",Дададада
,,,Типо поднимаем 8 голубей в небо
,,Типо поднимаем 8 голубей в небо,И передаём байт)
,,,А вот мне не до шуток
,,А вот мне не до шуток,так а что страшного
,А вот мне не до шуток,так а что страшного,Порно накроют
,,,ничего
,,ничего,"...
Ок"
,ничего,"...
Ок",мне того что скачано
,,,на год хватит
,,на год хватит,А новое - это как известно хорошо забытое старое
,,,+
,,+,Надо начать выкачивать все порно сайты
,+,Надо начать выкачивать все порно сайты,т.е тебе на бесконечность хватит
+,Надо начать выкачивать все порно сайты,т.е тебе на бесконечность хватит,И потом поднимать бабки
Надо начать выкачивать все порно сайты,т.е тебе на бесконечность хватит,И потом поднимать бабки,если ты конечно не помнишь порнуху через год после того как её посмотрел
т.е тебе на бесконечность хватит,И потом поднимать бабки,если ты конечно не помнишь порнуху через год после того как её посмотрел,у меня есть скрипт
,,,на питоне
,,на питоне,
,на питоне,,Нифига старая ава
,,,для реурсивной выкачки прона
,,для реурсивной выкачки прона,в много потоков
,,,"с порнхаба и иксвидеос
не спрашивайте зачем я его писал
кста"
,,,а ты помнишь как я писал письмо менаду?
,,а ты помнишь как я писал письмо менаду?,чё за письмо
,,,по-моему при тебе было
,,по-моему при тебе было,ты же вроде просто в лс ему что-то писал
,по-моему при тебе было,ты же вроде просто в лс ему что-то писал,"ну да
письмо"
по-моему при тебе было,ты же вроде просто в лс ему что-то писал,"ну да
письмо",письмо в личку в тг
ты же вроде просто в лс ему что-то писал,"ну да
письмо",письмо в личку в тг,"да
главное содержание"
"ну да
письмо",письмо в личку в тг,"да
главное содержание",похоже вкид зачётный был
письмо в личку в тг,"да
главное содержание",похоже вкид зачётный был,а не формат
"да
главное содержание",похоже вкид зачётный был,а не формат,Салам моим пацанам
похоже вкид зачётный был,а не формат,Салам моим пацанам,привет!
,,,как жизнь молодая
,,как жизнь молодая,Завтра в Татарстан :/
,как жизнь молодая,Завтра в Татарстан :/,уже завтра?
как жизнь молодая,Завтра в Татарстан :/,уже завтра?,Через 8 часов(
,,,пить плоха
,,,привет мария малых
,,привет мария малых,"Привет, анимебой"
,,,"кто
ты кому
я эмокид"
,,"кто
ты кому
я эмокид",ему наверное
,"кто
ты кому
я эмокид",ему наверное,а
,,,А кто это?
,,А кто это?,а чё ты с незнакомым человеком здороваешься
,А кто это?,а чё ты с незнакомым человеком здороваешься,Вежливость...
,,,хз
,,хз,Жалко(
,хз,Жалко(,он же может закардить тебя
хз,Жалко(,он же может закардить тебя,"мария малых
кидай номер карты
и 3 символа на другой стороне"
,,,иначе солью твои пароли
,,иначе солью твои пароли,Давай
,,,и украду токены
,,,1lov3em0kid
,,1lov3em0kid,Как ты угадал??
,1lov3em0kid,Как ты угадал??,я ему слил креды от бэкдора на твой комп
,,,"это первый
второй щас сбручу"
,,,"Хз, есть ли смысл ложиться, если я ещё не начинала собираться"
,,"Хз, есть ли смысл ложиться, если я ещё не начинала собираться",норм пацаны
,"Хз, есть ли смысл ложиться, если я ещё не начинала собираться",норм пацаны,Я не пацан(
"Хз, есть ли смысл ложиться, если я ещё не начинала собираться",норм пацаны,Я не пацан(,"как ты могла... мы тебе верили, приняли в свой dungeon, считали тебя real man..."
,,,красивое
,,,а зачем?
,,а зачем?,@mmalykh
,а зачем?,@mmalykh,"А, это мне?"
,,,"собираются за 5 минут
до выхода
но лично я
начинаю собираться за 5 минут до пары
стоп что"
,,"собираются за 5 минут
до выхода
но лично я
начинаю собираться за 5 минут до пары
стоп что",:(
,"собираются за 5 минут
до выхода
но лично я
начинаю собираться за 5 минут до пары
стоп что",:(,симп
,,,"Я думала, Боту)"
,,"Я думала, Боту)",я не бот...
,"Я думала, Боту)",я не бот...,думаешь?
"Я думала, Боту)",я не бот...,думаешь?,а может тебя забанить?
,,,нет мне
,,,ну типо
,,ну типо,На Больную перемену
,ну типо,На Больную перемену,"аааа, та самая"
,,,я бот
,,я бот,пройдёшь капчу?
,я бот,пройдёшь капчу?,"ебать у тебе хайповая шарага
на большой перемене в татарстан
летаете"
,,,пожрать чисто
,,пожрать чисто,вкусное
,,,"боже, она уже целый год идёт ?"
,,"боже, она уже целый год идёт ?","Нет, этот сезон с апреля, вроде"
,,,"а у меня больше
перемена
между парами пара часов бывает
до 5
рекорд"
,,,могу отмастерить
,,могу отмастерить,Уже отмастерили
,,,по стандартам индустрии
,,по стандартам индустрии,ого
,,,ок
,,ок,Но следующий трек отдам тебе на обработку!
,ок,Но следующий трек отдам тебе на обработку!,ура
,,,депрессивно суицидальный блэк метал
,,депрессивно суицидальный блэк метал,"это акустический эмо рок
я настя"
,депрессивно суицидальный блэк метал,"это акустический эмо рок
я настя","Нет, антон"
депрессивно суицидальный блэк метал,"это акустический эмо рок
я настя","Нет, антон",буду тебя продюссировать значит?
"это акустический эмо рок
я настя","Нет, антон",буду тебя продюссировать значит?,Да
"Нет, антон",буду тебя продюссировать значит?,Да,"я если что точно продюссер
можешь не переспрашивать"
буду тебя продюссировать значит?,Да,"я если что точно продюссер
можешь не переспрашивать","Ребятушки, такой вопрос. Никто не хочет из студентов поучаствовать в создании и, возможно, запуске спутника? Выиграла набор Сириуссат, регистрация до послезавтра, есть 2 студенческих места в команде
Нужны программисты, инженеры"
Да,"я если что точно продюссер
можешь не переспрашивать","Ребятушки, такой вопрос. Никто не хочет из студентов поучаствовать в создании и, возможно, запуске спутника? Выиграла набор Сириуссат, регистрация до послезавтра, есть 2 студенческих места в команде
Нужны программисты, инженеры","я программист
и инженер"
,,,расчитаю траекторию полета вокруг марса однострочником на питоне
,,расчитаю траекторию полета вокруг марса однострочником на питоне,а там eval(bytes.fromhex(“…”))
,расчитаю траекторию полета вокруг марса однострочником на питоне,а там eval(bytes.fromhex(“…”)),там 2 запроса
,,,на марсе классно кстати
,,на марсе классно кстати,"Я серьезно, пойдешь?"
,на марсе классно кстати,"Я серьезно, пойдешь?",куда
на марсе классно кстати,"Я серьезно, пойдешь?",куда,"Участвовать
В этой фигне"
,,,а как
,,а как,Сначала - зарегаться
,а как,Сначала - зарегаться,где
,,,"к api наса
обфусцированных"
,,"к api наса
обфусцированных","Щас в конфу добавлю
Там вся инфа"
,,,ну попробуй
,,ну попробуй,Ну все
,,,мне не приезжает синкпад
,,мне не приезжает синкпад,что всё
,мне не приезжает синкпад,что всё,"Добавила
Вк"
мне не приезжает синкпад,что всё,"Добавила
Вк","в бля
бля я думал в тг)"
что всё,"Добавила
Вк","в бля
бля я думал в тг)","htb превартился в калл (про дизайн говорю)
ну и легкие боксы опять стали слишком легкие (или я стал чуть умнее)
а мидлы по сложности сравнить можно с легкими былых времен
и rope2 нету"
,,,ДА БЛЯДСИКЕ НАУШНИКИ РАЗРЯЖАЮТСЯ НЕ ДАЮ СУЛШАТЬ ДОРУ СУКЕЯЫВФА ПЛОРКЖДЕШЩЖПД ФУЫЛОИЩДЯОЫУЕ4 И5ЩЦШД4У6Т5Г
,,ДА БЛЯДСИКЕ НАУШНИКИ РАЗРЯЖАЮТСЯ НЕ ДАЮ СУЛШАТЬ ДОРУ СУКЕЯЫВФА ПЛОРКЖДЕШЩЖПД ФУЫЛОИЩДЯОЫУЕ4 И5ЩЦШД4У6Т5Г,Купи новые
,,,слушай без наушников
,,слушай без наушников,у меня их нет
,,,"кошка:
1) ликвидировала проводные наушники
2) пока я спал, куда-то спрятала коробку от беспроводных наушников"
,,"кошка:
1) ликвидировала проводные наушники
2) пока я спал, куда-то спрятала коробку от беспроводных наушников",Аналогично
,,,"а ты не подумал, что ей тоже может нужны наушники?"
,,"а ты не подумал, что ей тоже может нужны наушники?",теперь я живу без музыки
,"а ты не подумал, что ей тоже может нужны наушники?",теперь я живу без музыки,"в общаге только мудаки без наушников слушают
я конечно мудак
но даже для меня это сильно"
"а ты не подумал, что ей тоже может нужны наушники?",теперь я живу без музыки,"в общаге только мудаки без наушников слушают
я конечно мудак
но даже для меня это сильно",бален
,,,я уже
,,я уже,так на нти дали же
,я уже,так на нти дали же,Ничеси
,,,"Оооо
Велл дан"
,,"Оооо
Велл дан","ну я про них
они и разряжаются"
,"Оооо
Велл дан","ну я про них
они и разряжаются","а
ну по факту
а с теми что"
,,,я думал ты не даунгрейднешься с aptx
,,я думал ты не даунгрейднешься с aptx,ну вообще они от возраста разъебались уже
,,,"но типа
мне похуй как-то"
,,,я на любых ушах могу эквалайзер норм настроить и кайфовать
,,я на любых ушах могу эквалайзер норм настроить и кайфовать,но эквалайзер не убирает ступеньки из звука....
,я на любых ушах могу эквалайзер норм настроить и кайфовать,но эквалайзер не убирает ступеньки из звука....,понимаешь в чем дело
,,,"если они не совсем кал конечно
ступеньки они отражаются на ачх
но услышишь ты это только на норм оборудовании
в затычках ты в разумных пределах не услышишь разницы"
,,"если они не совсем кал конечно
ступеньки они отражаются на ачх
но услышишь ты это только на норм оборудовании
в затычках ты в разумных пределах не услышишь разницы",ок согласен
,"если они не совсем кал конечно
ступеньки они отражаются на ачх
но услышишь ты это только на норм оборудовании
в затычках ты в разумных пределах не услышишь разницы",ок согласен,Прикольно
"если они не совсем кал конечно
ступеньки они отражаются на ачх
но услышишь ты это только на норм оборудовании
в затычках ты в разумных пределах не услышишь разницы",ок согласен,Прикольно,"вот это шутка
вот это юмор"
ок согласен,Прикольно,"вот это шутка
вот это юмор",Хахахахахахахха
,,,*не поняла*
,,*не поняла*,"почитать
https://en.wikipedia.org/wiki/Supervisor_Mode_Access_Prevention"
,,,"Удивительно, но за эту ночь никто ничего не написал
Хотя я обычно просыпаюсь, а тут более 500"
,,"Удивительно, но за эту ночь никто ничего не написал
Хотя я обычно просыпаюсь, а тут более 500",Я просто не писал
,"Удивительно, но за эту ночь никто ничего не написал
Хотя я обычно просыпаюсь, а тут более 500",Я просто не писал,Точно
,,,Лол
,,,Преподавать осинт?
,,Преподавать осинт?,Реверс за 10
,,,Или стегу?
,,Или стегу?,пывнить хтмл на пхп
,Или стегу?,пывнить хтмл на пхп,Осинт реверс
,,,это где
,,это где,в каментах поста выше
,,,v8 похоже делают такие же гении что и ту криптовалюту
,,v8 похоже делают такие же гении что и ту криптовалюту,а зачем там инлайн кста
,v8 похоже делают такие же гении что и ту криптовалюту,а зачем там инлайн кста,"ну это в файле заголовка функция (ну и inline чтобы она инлайнилась, логично, она же часто используется и при этом маленькая)"
,,,"я думал ""как же атаковать???? может z3 справится?"" а они просто убрали из кода сложение потому что им так захотелось"
,,"я думал ""как же атаковать???? может z3 справится?"" а они просто убрали из кода сложение потому что им так захотелось",Ты пытаешься пывнить движок для жс?
,"я думал ""как же атаковать???? может z3 справится?"" а они просто убрали из кода сложение потому что им так захотелось",Ты пытаешься пывнить движок для жс?,"взломать генератор случайных чисел
функция ToDouble должна вычислять на основе state0+state1 а не просто state0, и атака от этого становится очень сильно проще"
,,,"изменение обосновано просто как ""поменял потому что захотелось"""
,,"изменение обосновано просто как ""поменял потому что захотелось""","а что дальше произошло, не понимаю как floating-арфиметику для рнд юзать. Что произошло что появилось новая уязвимость (если до этого не было с переводом в double)?"
,"изменение обосновано просто как ""поменял потому что захотелось""","а что дальше произошло, не понимаю как floating-арфиметику для рнд юзать. Что произошло что появилось новая уязвимость (если до этого не было с переводом в double)?","не слишком понимаю вопрос. До исправления баг был в том что они в другом месте хранили состояние генератора (два uint64_t) как double от чего всё ломалось, после исправления баг стал в том что xorshift128+ даунгрейднулся до обычного xorshift128, который намного проще атаковать (ну и статистически ещё хуже)"
"изменение обосновано просто как ""поменял потому что захотелось""","а что дальше произошло, не понимаю как floating-арфиметику для рнд юзать. Что произошло что появилось новая уязвимость (если до этого не было с переводом в double)?","не слишком понимаю вопрос. До исправления баг был в том что они в другом месте хранили состояние генератора (два uint64_t) как double от чего всё ломалось, после исправления баг стал в том что xorshift128+ даунгрейднулся до обычного xorshift128, который намного проще атаковать (ну и статистически ещё хуже)","дописал атаку на пул, запущенный локально. но на сервере скорее всего не получится т.к. он под слишком сильной нагрузкой и сложно получить несколько ответов подряд :("
,,,"я думал, если часто используется, то проще сделать обычную функцию"
,,"я думал, если часто используется, то проще сделать обычную функцию","умные мысли
убегают от него в страхе"
,,,"либо я не понимаю зачем нужен инлайн
понятно, что он вшивает код в то место, где вызывается фнкция"
,,"либо я не понимаю зачем нужен инлайн
понятно, что он вшивает код в то место, где вызывается фнкция","чтобы сэкономить call, ret, необходимость распределять регистры чтобы не сломалось при вызове и доступ к далёкой памяти"
,,,но где это использовать
,,но где это использовать,"ну если у тебя функа - кусок говнокода на 1.5 строчки, которая вызывается 100500 раз то наверное стоит использовать инлайн..."
,,,"а вообще функции и инлайны для слабых, трушные пацаны все пишут в мейне"
,,"а вообще функции и инлайны для слабых, трушные пацаны все пишут в мейне","а, там был баг, где люди сохраняли состояние генератора (два uint64_t) в массив double
я и не подозревал что v8 настолько ужасен...
т.е. человек исправил баг и добавил вместо него другой"
,"а вообще функции и инлайны для слабых, трушные пацаны все пишут в мейне","а, там был баг, где люди сохраняли состояние генератора (два uint64_t) в массив double
я и не подозревал что v8 настолько ужасен...
т.е. человек исправил баг и добавил вместо него другой",так может это фича
,,,Меня зачислили в двфу(карандашиком)
,,Меня зачислили в двфу(карандашиком),я могу пройти студентом 1 курса?
,,,"запишем тебя в список пидоров
но пока что только карандашом"
,,"запишем тебя в список пидоров
но пока что только карандашом","Да там тренинг от ртк солар
Как там полигон чего-то
Ток для студентов двфу, ну а я хакнул систему"
,"запишем тебя в список пидоров
но пока что только карандашом","Да там тренинг от ртк солар
Как там полигон чего-то
Ток для студентов двфу, ну а я хакнул систему",решил таск на соц инжиниринг...
"запишем тебя в список пидоров
но пока что только карандашом","Да там тренинг от ртк солар
Как там полигон чего-то
Ток для студентов двфу, ну а я хакнул систему",решил таск на соц инжиниринг...,:)))
,,,"Не, мне даже некетмена не удалось засунуть(("
,,"Не, мне даже некетмена не удалось засунуть((",Хотя он проходил курсы и цтфку локальную затащил со мной в Тиме(
,"Не, мне даже некетмена не удалось засунуть((",Хотя он проходил курсы и цтфку локальную затащил со мной в Тиме(,Незатащить было нереально
,,,Там была стега с Малышевой
,,,бан
,,бан,?
,,,"ок, deleted"
,,,Секс🥰🥰🥰
,,Секс🥰🥰🥰,ооо
,,,оаоооммммм ряльно секас
,,оаоооммммм ряльно секас,Там еще целый час стеге посвещен)))
,,,Ммм стега
,,Ммм стега,"Зачем
А можно ещё sanity check
На 3 часа"
,,,я не умею срешать санити
,,я не умею срешать санити,Как ты прошел на ино тогда????
,,,мне нужны туторы
,,мне нужны туторы,"Ясно списал
А стоп там не было
Тогда ладно"
,мне нужны туторы,"Ясно списал
А стоп там не было
Тогда ладно",да!
,,,Пизда
,,Пизда,
,,,Где
,,Где,курсы от фефу
,,,По почте не особо хотят отвечать
,,По почте не особо хотят отвечать,"по всем вопросам административного характера - не ко мне, я в душе не чаю
хотя вопрос хороший, самому туда ехать надо"
,По почте не особо хотят отвечать,"по всем вопросам административного характера - не ко мне, я в душе не чаю
хотя вопрос хороший, самому туда ехать надо",добавьте Регину в этот чат …
,,,"походу, все же поняли, что не брать макс максимально тупо"
,,"походу, все же поняли, что не брать макс максимально тупо","нет
в положении даже прописано что мы смотрим не только на поинты, но и на время
тут просто удалось договориться с роспотребом, поэтому решили взять побольше команд"
,"походу, все же поняли, что не брать макс максимально тупо","нет
в положении даже прописано что мы смотрим не только на поинты, но и на время
тут просто удалось договориться с роспотребом, поэтому решили взять побольше команд",Нет
,,,ОООООО
,,,"Главное, чтобы за день до начала ничего не отменили)"
,,"Главное, чтобы за день до начала ничего не отменили)",да не думаю что отменят)
,,,"F{F{{F{F{F{F{F
АХХАХАХАХХАХА
заскамил
Спасибо"
,,,"Ещё бы Регина вышла на связь, вообще збс будет"
,,"Ещё бы Регина вышла на связь, вообще збс будет","Регина щас с доками и роспотребом разбирается, чутка погодите
ответит"
,,,А
,,,это фейк
,,это фейк,это канал из ссылки в письме с приглашением на финал
,это фейк,это канал из ссылки в письме с приглашением на финал,Письмо фейк
,,,"канал
или че"
,,"канал
или че",Вряд ли
,"канал
или че",Вряд ли,Бля
"канал
или че",Вряд ли,Бля,Юра заскамил в ответ на бан
Вряд ли,Бля,Юра заскамил в ответ на бан,Фейк же
,,,Не это фейк
,,Не это фейк,
,,,"ну спецом для тебя сделаем
все на бинарях с -O3, трафик с tls, а хостовая система солярис"
,,"ну спецом для тебя сделаем
все на бинарях с -O3, трафик с tls, а хостовая система солярис","Если это не фейк, то можно в основном канале переслать это?"
,,,(who?)
,,(who?),"hackforces?
ща"
,(who?),"hackforces?
ща","Да
Вот теперь точно не фейк)"
(who?),"hackforces?
ща","Да
Вот теперь точно не фейк)",давайте ещё ад с пвном ядра
"hackforces?
ща","Да
Вот теперь точно не фейк)",давайте ещё ад с пвном ядра,"это на кубке
и если ты думаешь что я щас шучу
то заглядывай на кубок)"
,,,ъ аче пич лазанью не забанили...
,,ъ аче пич лазанью не забанили...,а там за минуту до дедлайна сперва забанить над
,ъ аче пич лазанью не забанили...,а там за минуту до дедлайна сперва забанить над,"не, их не надо банить, они хорошие ребята"
ъ аче пич лазанью не забанили...,а там за минуту до дедлайна сперва забанить над,"не, их не надо банить, они хорошие ребята","да, предлагают шерить, а потом извергают из себя В БААААН ИХ"
,,,"Ваня, мы встретимся снова!!!"
,,"Ваня, мы встретимся снова!!!","да!!!
ток у синкапада мать сдохла"
,"Ваня, мы встретимся снова!!!","да!!!
ток у синкапада мать сдохла",Бленб
"Ваня, мы встретимся снова!!!","да!!!
ток у синкапада мать сдохла",Бленб,как гуля смотреть
"да!!!
ток у синкапада мать сдохла",Бленб,как гуля смотреть,Он сегодня приедет
,,,"попробовал написать версию для удалённого взлома а она не работает, наверное, надо ддосить запросами сильнее чтобы никто не успел в промежутке"
,,"попробовал написать версию для удалённого взлома а она не работает, наверное, надо ддосить запросами сильнее чтобы никто не успел в промежутке","там и так происходит доставка дудоса
(по их собственным заявлениям)"
