context_3,context_2,context_1,response
,,,"Жизнь после COVID 19, как не умереть от информационных вирусов?"
,,"Жизнь после COVID 19, как не умереть от информационных вирусов?","Тебя ""Кибероперация : цели, подходы, защита"" не смущает?"
,,,"пиздец
а кто организует летоцтф в этом году, почему все так плохо
что это вообще"
,,"пиздец
а кто организует летоцтф в этом году, почему все так плохо
что это вообще",главный вопрос почему не наоборот
,"пиздец
а кто организует летоцтф в этом году, почему все так плохо
что это вообще",главный вопрос почему не наоборот,какие исчерпывающие названия докладов
"пиздец
а кто организует летоцтф в этом году, почему все так плохо
что это вообще",главный вопрос почему не наоборот,какие исчерпывающие названия докладов,пентест получается
,,,"нет, вот настоящий пентест"
,,"нет, вот настоящий пентест",охуенные теги
,,,"Я и говорю, кто-то поможет с решением stego sex pwn qemu web php mips?"
,,"Я и говорю, кто-то поможет с решением stego sex pwn qemu web php mips?",сочувствую тем у кого не было stego sex
,,,сочувствую тем у кого не было men sex
,,сочувствую тем у кого не было men sex,+
,сочувствую тем у кого не было men sex,+,@x000rg разлогинься с фейка
,,,там резы пришли
,,там резы пришли,резы чего?
,,,экзамена
,,экзамена,Егэ?
,экзамена,Егэ?,ОГЭ у них
,,,"о, Маша"
,,"о, Маша","Ого, ты инфосек?)"
,"о, Маша","Ого, ты инфосек?)","Мы его держим, чтобы 69 оставалось"
,,,я инфоклоун
,,,Решил я как-то установить вайбер...
,,Решил я как-то установить вайбер...,Как пакет называется?
,Решил я как-то установить вайбер...,Как пакет называется?,Я с их сайта скачал какой-то
,,,Я же говорил что инфу пишу сегодня
,,Я же говорил что инфу пишу сегодня,"""^""
теперь пишет российский университет дружбы народов... не напрямую, а в виде письма директору школы"
,,,"с целью оказывать влияние, не одобренное национальными провайдерами и правительством!!
(это правда демоверсия так что может нормально)"
,,"с целью оказывать влияние, не одобренное национальными провайдерами и правительством!!
(это правда демоверсия так что может нормально)","он ответил ура
Ваши инвестиции окупятся быстро. После запуска проекта вы, как и остальные инвесторы первого раунда получите в целом сумму которую вы вложите, умноженную в 20 раз. Будете выводить каждый месяц по 15% от прибыли приносимой сайтом умноженной на коэффициент. Общая необходимая сумма инвестиций составляет 1,6 миллиарда €.   Исходя из этого можете посчитать ваш коэффициент и скорость окупаемости."
,,,а когда должны резы инфы придти?
,,а когда должны резы инфы придти?,30
,,,"епта
долго"
,,"епта
долго",Да.
,"епта
долго",Да.,"комп же моментально может проверить
как кегэ сайт"
"епта
долго",Да.,"комп же моментально может проверить
как кегэ сайт","Так резы уже проверены
Там 8 дней щас камеры чекают
и тд"
Да.,"комп же моментально может проверить
как кегэ сайт","Так резы уже проверены
Там 8 дней щас камеры чекают
и тд","а
балдеж
ладно получаю свои 94 и иду на платное"
,,,Мне бы получить свои 75+
,,Мне бы получить свои 75+,"есть вероятность, что не набрал?"
,Мне бы получить свои 75+,"есть вероятность, что не набрал?","Хз, просто стремно. Я уже не помню не ответы не задания"
,,,"И на бюджет
Думаю ошибки 3 точно есть"
,,,"не знаю есть ли у меня ошибки
я подозреваю что мог забыть умножить на 2 в 27 задании, из-за чего всё решалось как на прямой а не как на окружности, но только я писал две разные программы которые получили одинаковый ответ, и как сделать во второй аналогичную ошибку не знаю
т.е. получается что либо для решения задания было не важно что дома расположены на окружности, либо у меня две разные программы с одинаковой ошибкой
(либо я всё-таки не забыл умножить на 2)"
,,"не знаю есть ли у меня ошибки
я подозреваю что мог забыть умножить на 2 в 27 задании, из-за чего всё решалось как на прямой а не как на окружности, но только я писал две разные программы которые получили одинаковый ответ, и как сделать во второй аналогичную ошибку не знаю
т.е. получается что либо для решения задания было не важно что дома расположены на окружности, либо у меня две разные программы с одинаковой ошибкой
(либо я всё-таки не забыл умножить на 2)","Ну 20 окружности не было, либо я ее тоже не увидел"
,"не знаю есть ли у меня ошибки
я подозреваю что мог забыть умножить на 2 в 27 задании, из-за чего всё решалось как на прямой а не как на окружности, но только я писал две разные программы которые получили одинаковый ответ, и как сделать во второй аналогичную ошибку не знаю
т.е. получается что либо для решения задания было не важно что дома расположены на окружности, либо у меня две разные программы с одинаковой ошибкой
(либо я всё-таки не забыл умножить на 2)","Ну 20 окружности не было, либо я ее тоже не увидел",Вроде да
,,,Ну вот я не уверен в 27 тоже
,,Ну вот я не уверен в 27 тоже,Если даже слава в 27 сомневается …
,Ну вот я не уверен в 27 тоже,Если даже слава в 27 сомневается …,"я 21 писал
было задание ""есть окружность длиной 1e7, на ней 1e5 домов в разных точках, в каждый нужно доставлять x килограмм корреспонденции коробками по 17кг. нужно открыть в одном из домов почтовое отделение. отделение действует на расстоянии M, задача максимизировать количество доставленных коробок""
(два решения были ""построить массив с количествами коробок из каждой точки длиной 1e7 и удвоить, затем считать суммы в скользящем окне"" и перебор за 1e5^2)"
,,,"ДААААААААААААА
хоть кто-то написал про брут за квадрат в 27б
я ее так и решал (до этого писал префикс-суммы в похожих, запомнилось мне это еблей с индексами, поэтому повторять я не хотел)
c++ go brrrr, брутит за ~2 мин"
,,"ДААААААААААААА
хоть кто-то написал про брут за квадрат в 27б
я ее так и решал (до этого писал префикс-суммы в похожих, запомнилось мне это еблей с индексами, поэтому повторять я не хотел)
c++ go brrrr, брутит за ~2 мин",загнал O(nm) на питоне за минуту с мультипроцессом...
,,,"вроде во многих вариантах было 1e6 и 1e7
(имею в виду, многих других типах 27 задания, а не кимах людей которые сидели рядом со мной)"
,,,ещё openmp я использовал
,,ещё openmp я использовал,это какая-то либа для c++?
,,,"а какие n и m
(и сколько ядер процессора)"
,,"а какие n и m
(и сколько ядер процессора)","1e6 n 1e4 m
ну хз видимо там не совсем nm, просто я увидел что он по 1000 пунктов за 3 секунды обрабатывал в итоге прикрутил 10 процессов через processpoolexecutor профит
не знаю только верный ли ответ"
,,,подожди так multiprocessing это не стандартная библиотека...
,,подожди так multiprocessing это не стандартная библиотека...,Ты не прав
,,,как
,,как,ну я через concurrent.futures там то же самое
,как,ну я через concurrent.futures там то же самое,Ага
,,,"а ок а почему я думал что оно не стандартное...
ладно
да (только вроде для си)
обфускатор с госуслуг и здесь преследует меня...
это скрипт с кодефорсесов"
,,"а ок а почему я думал что оно не стандартное...
ладно
да (только вроде для си)
обфускатор с госуслуг и здесь преследует меня...
это скрипт с кодефорсесов","Я мб дурачок, но в чем различие matrix.solve_right и solve_left в саже?"
,"а ок а почему я думал что оно не стандартное...
ладно
да (только вроде для си)
обфускатор с госуслуг и здесь преследует меня...
это скрипт с кодефорсесов","Я мб дурачок, но в чем различие matrix.solve_right и solve_left в саже?","иногда работает первый, иногда второй
(solve_right решает AX = Y, solve_left решает XA = Y)"
,,,диплом за технокубок найден
,,диплом за технокубок найден,Хорош
,,,То есть при потере посылки почта россии за нее ответственности не несет?
,,То есть при потере посылки почта россии за нее ответственности не несет?,"Нет, им поебать"
,То есть при потере посылки почта россии за нее ответственности не несет?,"Нет, им поебать","флаги мои флаги…. 🥵
командир линукса 3й степени"
То есть при потере посылки почта россии за нее ответственности не несет?,"Нет, им поебать","флаги мои флаги…. 🥵
командир линукса 3й степени",кто убил таск летней школы
"Нет, им поебать","флаги мои флаги…. 🥵
командир линукса 3й степени",кто убил таск летней школы,Прикол
"флаги мои флаги…. 🥵
командир линукса 3й степени",кто убил таск летней школы,Прикол,"чооооооооооо
всм"
кто убил таск летней школы,Прикол,"чооооооооооо
всм",Ну LFI Нашел в duckduckgo
Прикол,"чооооооооооо
всм",Ну LFI Нашел в duckduckgo,а чё passwd не находит
"чооооооооооо
всм",Ну LFI Нашел в duckduckgo,а чё passwd не находит,"обычные буднт
( Да эт рофл )
Ну или нет)"
,,,странно при подгрузке passwd выводит резы поиска
,,странно при подгрузке passwd выводит резы поиска,Это фейк уязвимость же)
,,,а при конфиге ссш от рута выводи ошибку и переброс на индекс
,,а при конфиге ссш от рута выводи ошибку и переброс на индекс,"Так у меня то RCE
мне то что"
,а при конфиге ссш от рута выводи ошибку и переброс на индекс,"Так у меня то RCE
мне то что","у тебя рце на дак дак го?
под каким юзером?"
,,,H1 не платит жаль русским
,,H1 не платит жаль русским,?
,,,"Ну тип duckduckgo делал такое фейковое RCE до этого
( Они так пранкуют пентестеров )"
,,"Ну тип duckduckgo делал такое фейковое RCE до этого
( Они так пранкуют пентестеров )",всм
,"Ну тип duckduckgo делал такое фейковое RCE до этого
( Они так пранкуют пентестеров )",всм,Либо я вам зеродей дал
,,,а как они пранковали с рце
,,а как они пранковали с рце,"Там была возможность типо выполнять команды, но всё что работало - 'ls  -la'"
,,,( В том году вроде было )
,,( В том году вроде было ),и они призналичь что пошутили?
,( В том году вроде было ),и они призналичь что пошутили?,Нет
,,,"Ну тут такая же ситуация - читается один файл
Ну хуй его знает короче"
,,"Ну тут такая же ситуация - читается один файл
Ну хуй его знает короче",шалуны
,"Ну тут такая же ситуация - читается один файл
Ну хуй его знает короче",шалуны,Пробуйте ломать если не лень
"Ну тут такая же ситуация - читается один файл
Ну хуй его знает короче",шалуны,Пробуйте ломать если не лень,веберы лесссс гоууууу
шалуны,Пробуйте ломать если не лень,веберы лесссс гоууууу,"Ладно это реально баг
Ну бывает"
Пробуйте ломать если не лень,веберы лесссс гоууууу,"Ладно это реально баг
Ну бывает",а эта штука в конце добавляет .html и поэтому  я не могу файл читать
веберы лесссс гоууууу,"Ладно это реально баг
Ну бывает",а эта штука в конце добавляет .html и поэтому  я не могу файл читать,Ага
,,,Пиздец конечно
,,Пиздец конечно,слил 0 день)
,Пиздец конечно,слил 0 день),"Да похуй, для чд не жалко"
,,,Ну похуй в целом
,,Ну похуй в целом,у меня нет
,Ну похуй в целом,у меня нет,(
,,,rm -rf --no-preserve-root
,,rm -rf --no-preserve-root,русские хакеры атакуют американские поисковые системы
,,,Скорее
,,,( они даже на h1 не платили )
,,( они даже на h1 не платили ),а они платят?
,( они даже на h1 не платили ),а они платят?,"H1, да."
,,,duckduckgo - нет
,,duckduckgo - нет,А она у тебя уже есть?
,,,"да, /tmp/database.html"
,,"да, /tmp/database.html",Раскрыл карты
,,,А как ты зальешь им хтмл свою? Через рце с ls -la
,,,А кто-то пойдёт на алые?
,,А кто-то пойдёт на алые?,
,,,Осуждаем
,,Осуждаем,Why
,,,Что
,,Что,Сервер с кобальт страйком. Можно реверснуть и логи взять
,Что,Сервер с кобальт страйком. Можно реверснуть и логи взять,Зачем
,,,надо взломать. вы знаете хакеров?
,,надо взломать. вы знаете хакеров?,"По приколу
Норм, логи с powershell"
,надо взломать. вы знаете хакеров?,"По приколу
Норм, логи с powershell",Сразу выдали.
надо взломать. вы знаете хакеров?,"По приколу
Норм, логи с powershell",Сразу выдали.,"а почему...
т.е. у него некоторые новые задания решены а некоторые нет"
,,,"думаю, будет интересно почитать"
,,"думаю, будет интересно почитать",А что там за таск
,,,гг
,,,"эллиптические кривые, но real"
,,"эллиптические кривые, но real",Гениально.
,,,фига там добавили
,,,А твой солв на линейный криптоанализ аес сработал?)
,,А твой солв на линейный криптоанализ аес сработал?),"нет, оказалось ещё проще
я думал, что можно написать на самый частый вариант, но на ""is ""a slightly modified version of AES"" the version I'm thinking about?"" мне ответили ""Probably not... it's a custom challenge"", поэтому я подумал что они реально сделают таск на криптоанализ
наиболее вероятный способ слегка поменять aes чтобы он стал уязвимым к линейному криптоанализу - сделать очень плохой s-box или уменьшить количество раундов
если уменьшить количество раундов то у меня уже есть решатель для 5 раундов через интегральный криптоанализ который не зависит от качества s-box (для 4 более простая и быстрая атака, для 3 и меньше наверное сработает z3)
в линейный криптоанализ я практически не умею, поэтому я переписал решение mini-a3s под обычный aes, хотя это был дифференциальный криптоанализ а не линейный

но выяснилось что никакого линейного криптоанализа в задании нет, это традиционный таск ""aes с полностью линейным s-box"""
,А твой солв на линейный криптоанализ аес сработал?),"нет, оказалось ещё проще
я думал, что можно написать на самый частый вариант, но на ""is ""a slightly modified version of AES"" the version I'm thinking about?"" мне ответили ""Probably not... it's a custom challenge"", поэтому я подумал что они реально сделают таск на криптоанализ
наиболее вероятный способ слегка поменять aes чтобы он стал уязвимым к линейному криптоанализу - сделать очень плохой s-box или уменьшить количество раундов
если уменьшить количество раундов то у меня уже есть решатель для 5 раундов через интегральный криптоанализ который не зависит от качества s-box (для 4 более простая и быстрая атака, для 3 и меньше наверное сработает z3)
в линейный криптоанализ я практически не умею, поэтому я переписал решение mini-a3s под обычный aes, хотя это был дифференциальный криптоанализ а не линейный

но выяснилось что никакого линейного криптоанализа в задании нет, это традиционный таск ""aes с полностью линейным s-box""",нормально
,,,"ну там есть задания уровня ""откройте файл .pcap и скажите сколько пакетов получает такой-то айпи-адрес"""
,,"ну там есть задания уровня ""откройте файл .pcap и скажите сколько пакетов получает такой-то айпи-адрес""",Вот это cryptohack
,,,"в категории на хеши вроде подобный таск есть, надо оттуда попробовать сплоит утащить"
,,"в категории на хеши вроде подобный таск есть, надо оттуда попробовать сплоит утащить","реально
то есть даже на самом cryptohack уже был такой таск...
а, нет, показалось. о каком таске ты говоришь"
,"в категории на хеши вроде подобный таск есть, надо оттуда попробовать сплоит утащить","реально
то есть даже на самом cryptohack уже был такой таск...
а, нет, показалось. о каком таске ты говоришь",No Difference
"в категории на хеши вроде подобный таск есть, надо оттуда попробовать сплоит утащить","реально
то есть даже на самом cryptohack уже был такой таск...
а, нет, показалось. о каком таске ты говоришь",No Difference,"вот да. я по названию подумал что будет полностью линейный s-box, но они просто сделали s-box где s[i] = s[i^223]...
шеринг"
