context_3,context_2,context_1,response
,,у нас уже 2 раза забрали сириус,Грустить нельзя!
,у нас уже 2 раза забрали сириус,Грустить нельзя!,
,,,"В Сочи не отдохнёшь, не волнуйся"
,,"В Сочи не отдохнёшь, не волнуйся",:(
,,,"Это ещё не ульта
Это просто скилл"
,,"Это ещё не ульта
Это просто скилл",Верю
,,,❤️❤️❤️❤️
,,❤️❤️❤️❤️,"И точно слежу за тем, кто ставит лайки."
,,,Кхм.
,,Кхм.,Можешь не смущаться
,,,))
,,,Между нами как-то сократилась дистанция...
,,Между нами как-то сократилась дистанция...,"Следующий шаг свидание, но я думаю стоит повременить"
,,,почему нельзя ставить рекцию 😳
,,почему нельзя ставить рекцию 😳,Не знаю
,,,Следующий шаг возврат дистанции на нужно расстояние. Не советую повременить с этим)
,,Следующий шаг возврат дистанции на нужно расстояние. Не советую повременить с этим),:-(
,,,"Скажите, скобочка в конце добавляет дополнительного смысла в ообщение?"
,,"Скажите, скобочка в конце добавляет дополнительного смысла в ообщение?",
,,,Прикольно)))
,,Прикольно))),Вот это ты конечно не рационально используешь усилители текста
,Прикольно))),Вот это ты конечно не рационально используешь усилители текста,:(
,,,"Кстати, стикеры крутые"
,,"Кстати, стикеры крутые",Ща в лс самый крутой кину)
,"Кстати, стикеры крутые",Ща в лс самый крутой кину),"Как круто!
Ещё один ассистент!
Рекорд
вылететь из чата за час"
"Кстати, стикеры крутые",Ща в лс самый крутой кину),"Как круто!
Ещё один ассистент!
Рекорд
вылететь из чата за час",пол часа же
,,,Разъяснительная работа всё разъяснила.
,,Разъяснительная работа всё разъяснила.,Логично
,,,"Привет, Мир!"
,,"Привет, Мир!","привет, Иван"
,,,возвращение блудного сына
,,возвращение блудного сына,я только ради сириуса
,,,что?кто?когда?
,,что?кто?когда?,
,что?кто?когда?,,Почему стикер один?
,,,как??
,,как??,Пункт правил 1.
,как??,Пункт правил 1.,Кто грубил?
как??,Пункт правил 1.,Кто грубил?,Ну тогда 2.
Пункт правил 1.,Кто грубил?,Ну тогда 2.,а тут...
Кто грубил?,Ну тогда 2.,а тут...,ахахахах сириус
Ну тогда 2.,а тут...,ахахахах сириус,"Кто работает по 中國, тому 開除共產黨員出黨"
,,,А есть ctf у сириуса?
,,А есть ctf у сириуса?,"а, была же программа по инфобезу"
,,,Наверно
,,,был вроде кибервызов
,,был вроде кибервызов,Ростелеком проводил
,был вроде кибервызов,Ростелеком проводил,"Недавно звонили, рекламировали тарифы)"
,,,"который сириус проводил
очень давно
времена юлии..."
,,"который сириус проводил
очень давно
времена юлии...","А вы не знаете, Росатом проводит ctf?"
,"который сириус проводил
очень давно
времена юлии...","А вы не знаете, Росатом проводит ctf?","Пока нет,  но мы на пути к этому."
,,,"А вообще кто знает какие-нибудь российские ctf'ы, которые будут проводить в ближайшее время?"
,,"А вообще кто знает какие-нибудь российские ctf'ы, которые будут проводить в ближайшее время?",2 этап инно стф
,,,А то ctfnews перестали постить
,,А то ctfnews перестали постить,Кто будет на PHDays 12?
,А то ctfnews перестали постить,Кто будет на PHDays 12?,"Не, про него я узнал в день квалификаций
Туда поздновато"
А то ctfnews перестали постить,Кто будет на PHDays 12?,"Не, про него я узнал в день квалификаций
Туда поздновато",Югра стф был на прошлых выходных))
,,,Там я участвовал
,,Там я участвовал,Какое место?
,,,16
,,16,"У нас толи 11, толи 10"
,,,Да я соло в команде
,,Да я соло в команде,"Один помог с задачами на программирование, а в остальном я решал"
,,,Все остальные - мои одноклассники
,,,А че с НТО не позвал?
,,А че с НТО не позвал?,"Не, команду я собрал из одноклассников)"
,А че с НТО не позвал?,"Не, команду я собрал из одноклассников)",ошибка новичка
А че с НТО не позвал?,"Не, команду я собрал из одноклассников)",ошибка новичка,не гони тут
,,,Просто они не сильно шарят
,,Просто они не сильно шарят,"Пон
Ну около 2 месяцев есть ещë"
,,,всякое бывает
,,всякое бывает,Ну в вашем случае да
,,,Но на моем опыте...
,,Но на моем опыте...,Ошибка пирога
,,,И где звук
,,,"Да как это работает, я же замутил все и вся, почему мне падают нотификашки😐"
,,"Да как это работает, я же замутил все и вся, почему мне падают нотификашки😐",
,"Да как это работает, я же замутил все и вся, почему мне падают нотификашки😐",,
,,,Нарушение правила 3 бан
,,Нарушение правила 3 бан,"Да емае, капец, а как же «Россия для грустных»"
,Нарушение правила 3 бан,"Да емае, капец, а как же «Россия для грустных»",Ты найтивыход переслушал???
Нарушение правила 3 бан,"Да емае, капец, а как же «Россия для грустных»",Ты найтивыход переслушал???,"А эти ваши русские недореперы фигня, вот трушные парни проводят физ-пентест под хардкорный металлчик/анимешные опененги, зависит от настроения"
"Да емае, капец, а как же «Россия для грустных»",Ты найтивыход переслушал???,"А эти ваши русские недореперы фигня, вот трушные парни проводят физ-пентест под хардкорный металлчик/анимешные опененги, зависит от настроения",Тру парни массово эксплойтят ioT через 0день и загружают в ботнет под Tay-K
,,,"Нарушение правила 2 кстати
Химичку нашу…"
,,,На грани
,,На грани,Хех :)
,,,Третья партия готова.
,,Третья партия готова.,ура победа
,Третья партия готова.,ура победа,так фио надо или фамилию и имя
Третья партия готова.,ура победа,так фио надо или фамилию и имя,Можно без отчества
ура победа,так фио надо или фамилию и имя,Можно без отчества,твой ник объективно лучше
,,,А какие-нибудь команды дисквалили после 2 этапа?
,,А какие-нибудь команды дисквалили после 2 этапа?,Верни старую аву
,,,"Нет, но на самом деле орги договорились дисквалить тех, кто спросит про дисквал первым"
,,"Нет, но на самом деле орги договорились дисквалить тех, кто спросит про дисквал первым",Я не принимал участие во 2 этапе
,"Нет, но на самом деле орги договорились дисквалить тех, кто спросит про дисквал первым",Я не принимал участие во 2 этапе,Когда анимированная Ава?
"Нет, но на самом деле орги договорились дисквалить тех, кто спросит про дисквал первым",Я не принимал участие во 2 этапе,Когда анимированная Ава?,Когда-нибудь
,,,"Она лучше
:/"
,,"Она лучше
:/","А где фи в нике
Это бан как по мне"
,"Она лучше
:/","А где фи в нике
Это бан как по мне","Ну, у меня у все только Фамили и имя теперь
я попрошу коллег проверить и кикнуть всех, кто заменит ник назад
Вежливость наше всё"
,,,"Да и верил ли кто-то, что я это потом не проверю?"
,,"Да и верил ли кто-то, что я это потом не проверю?","Зачем верить? Мы просто не нарушаем правила, поэтому и не надо даже верить"
,,,Зачем вообще такой тоталитаризм
,,Зачем вообще такой тоталитаризм,это кстати нарушение пункта 2
,Зачем вообще такой тоталитаризм,это кстати нарушение пункта 2,Или 4…
,,,Туда их
,,Туда их,"Потому что в далёком году мы поняли, что люди не ценят свою возможность общаться друг с другом, если пишут ники"
,Туда их,"Потому что в далёком году мы поняли, что люди не ценят свою возможность общаться друг с другом, если пишут ники",ладно
Туда их,"Потому что в далёком году мы поняли, что люди не ценят свою возможность общаться друг с другом, если пишут ники",ладно,АВХЪЗВАХЫЗ
"Потому что в далёком году мы поняли, что люди не ценят свою возможность общаться друг с другом, если пишут ники",ладно,АВХЪЗВАХЫЗ,"Какой тоталитаризм, это демократия и власть народа, ты сам на самом деле решил, что хочешь фамилию в нике, просто ещё не понял этого"
,,,А почему в чате нет клоунской эмоции?
,,А почему в чате нет клоунской эмоции?,Так любая эмоция от участника этого чата(не всех) автоматом клоунская
,,,Хахаха
,,,я тут новенький
,,я тут новенький,Незнание не освобождает
,я тут новенький,Незнание не освобождает,если не знал значит не глупил
я тут новенький,Незнание не освобождает,если не знал значит не глупил,не груби
Незнание не освобождает,если не знал значит не глупил,не груби,Глу3.14
если не знал значит не глупил,не груби,Глу3.14,Глу3.14л
,,,у меня не считается
,,у меня не считается,";)
:/
Хахаха"
,у меня не считается,";)
:/
Хахаха",Так правильнее
у меня не считается,";)
:/
Хахаха",Так правильнее,Коллеги
,,,Время чистки
,,Время чистки,Время чистки прошло. Опять можно фамилию убирать?)
,,,?
,,,Кармическая чистка
,,Кармическая чистка,Я ещё жив!
,,,"Двое людей имели плохую карму
("
,,,А кто?
,,А кто?,Дельфинчика забанили вродь как
,,,не грустим
,,,Я полагаю тут нарушено правило 2)
,,Я полагаю тут нарушено правило 2),С таким успехом тут к финалу никого не останется
,Я полагаю тут нарушено правило 2),С таким успехом тут к финалу никого не останется,Ура! Напрягаться не надо.
,,,Тебе кажется
,,Тебе кажется,:)))
,Тебе кажется,:))),+бан
,,,оп
,,оп,:)
,,,"А, ой
Ща
Во"
,,,едитет
,,едитет,
,,,кстати эмоция с грустным смайликом  тут ловушка
,,,"Нынче лёд тонкий, товарищ"
,,"Нынче лёд тонкий, товарищ","-30, товарищ…"
,,,"Я вот думаю, кто в точности нарушает второй пункт, гипотетически админы, или тот кто пишет о гипотетическом нарушении админами второго пункта правил..."
,,"Я вот думаю, кто в точности нарушает второй пункт, гипотетически админы, или тот кто пишет о гипотетическом нарушении админами второго пункта правил...",Хмм
,,,"тот, кто думает"
,,"тот, кто думает",Не думайте больше тогда.
,,,Ох уж эти ваши с Родионом юзерботы)
,,Ох уж эти ваши с Родионом юзерботы),"Шаришь за Родиона?)
Или ты из его команды"
,,,"Он раньше со мной в Тиме был
А вообще я с ним учился в лицее++
От туда знаю"
,,"Он раньше со мной в Тиме был
А вообще я с ним учился в лицее++
От туда знаю","там кринж, не иди туда....."
,"Он раньше со мной в Тиме был
А вообще я с ним учился в лицее++
От туда знаю","там кринж, не иди туда.....",а когда финал
"Он раньше со мной в Тиме был
А вообще я с ним учился в лицее++
От туда знаю","там кринж, не иди туда.....",а когда финал,20.03-25.03
,,,20-25 марта
,,20-25 марта,-5?
,,,А как узнать про билеты там..?
,,,Теперь можно фамилию и имя убирать из профиля?
,,Теперь можно фамилию и имя убирать из профиля?,Нет
,,,Мы удалим из чата всех без ФИО
,,,"Я трогать не буду, т.к. я всех в контакты добавил с корректными ФИО"
,,"Я трогать не буду, т.к. я всех в контакты добавил с корректными ФИО","У меня это твинк, а если забанят?"
,"Я трогать не буду, т.к. я всех в контакты добавил с корректными ФИО","У меня это твинк, а если забанят?",а зачем
"Я трогать не буду, т.к. я всех в контакты добавил с корректными ФИО","У меня это твинк, а если забанят?",а зачем,"я на этот акк селф ботов делал, могут забанить"
"У меня это твинк, а если забанят?",а зачем,"я на этот акк селф ботов делал, могут забанить","Ты не один с юб тут
С ними особо не банят, если не спамить"
,,,А мои коллеги поправят
,,А мои коллеги поправят,"а можно коллеги тоже добавят
и мы все вместе уберем"
,А мои коллеги поправят,"а можно коллеги тоже добавят
и мы все вместе уберем",Номер виртуальный
А мои коллеги поправят,"а можно коллеги тоже добавят
и мы все вместе уберем",Номер виртуальный,"Ну забанят 

Ваши номера телефонов у меня тоже есть, понятное дело"
"а можно коллеги тоже добавят
и мы все вместе уберем",Номер виртуальный,"Ну забанят 

Ваши номера телефонов у меня тоже есть, понятное дело",Легенда
,,,"Я конечно не Алексей Егоров, но я хотя бы не игнорю
Если у вас есть полная команда, то она идёт тем же составом, если не хватает n участников, то будет собираться команда из вас и этих n участников без команды"
,,"Я конечно не Алексей Егоров, но я хотя бы не игнорю
Если у вас есть полная команда, то она идёт тем же составом, если не хватает n участников, то будет собираться команда из вас и этих n участников без команды",Я не успеваю принять в чат
,"Я конечно не Алексей Егоров, но я хотя бы не игнорю
Если у вас есть полная команда, то она идёт тем же составом, если не хватает n участников, то будет собираться команда из вас и этих n участников без команды",Я не успеваю принять в чат,"А можете тогда на вопросы выше ответить и людей впустить, они там ники поменяли"
,,,В первый день?
,,В первый день?,"до финала будет еще день на все про все, чтобы все приехали и т д"
,В первый день?,"до финала будет еще день на все про все, чтобы все приехали и т д",эххххх.... инно момент
В первый день?,"до финала будет еще день на все про все, чтобы все приехали и т д",эххххх.... инно момент,У этом году снова накладываются?
"до финала будет еще день на все про все, чтобы все приехали и т д",эххххх.... инно момент,У этом году снова накладываются?,нет
,,,"+ индивид еще день
так что два дня есть чтобы команды составить"
,,"+ индивид еще день
так что два дня есть чтобы команды составить",санспай тайный орг нто
,,,"А если я не один в тиме, и хотелось бы сменить команду так что никто из текущей и новой команды против не будут, то так нельзя? 🤔"
,,"А если я не один в тиме, и хотелось бы сменить команду так что никто из текущей и новой команды против не будут, то так нельзя? 🤔",Можнг
,"А если я не один в тиме, и хотелось бы сменить команду так что никто из текущей и новой команды против не будут, то так нельзя? 🤔",Можнг,а когда уже можно то будет
,,,к слову про день на то чтобы все приехали
,,к слову про день на то чтобы все приехали,Даа даа
,к слову про день на то чтобы все приехали,Даа даа,В прошлом году 4 дня было
к слову про день на то чтобы все приехали,Даа даа,В прошлом году 4 дня было,"очередной обкак оргов
😢😢"
Даа даа,В прошлом году 4 дня было,"очередной обкак оргов
😢😢",Менад красава
,,,"Это в нто, не к нам."
,,"Это в нто, не к нам.",Но вы же главный организатор...
,"Это в нто, не к нам.",Но вы же главный организатор...,Есть разделение ответственности.
,,,Ладно будет искать
,,,один за всех и все за одного
,,один за всех и все за одного,Ауф
,,,Неужели)
,,Неужели),😳
,,,"Интересная у вас аватарка, Владислав"
,,,А в одной команде может быть 9 и 11 класс?(или только 10-11?)
,,А в одной команде может быть 9 и 11 класс?(или только 10-11?),9 класс будет писать индивид этап за 10-11 только
,,,а так да
,,,ну он ещё первый этап должен был писать за 10-11
,,ну он ещё первый этап должен был писать за 10-11,"Это условие никак нельзя обойти? По отношению к 9м классам все честно же, задания только усложнятся"
,ну он ещё первый этап должен был писать за 10-11,"Это условие никак нельзя обойти? По отношению к 9м классам все честно же, задания только усложнятся",нет
,,,"А можно не писать математику и информатику, а просто поучаствовать в олимпиаде по ИБ?"
,,"А можно не писать математику и информатику, а просто поучаствовать в олимпиаде по ИБ?",ну по 0 получить никто не мешает тебе
,,,Супер
,,,только затопишь команду свою
,,только затопишь команду свою,"А каким образом затоплю, если этап индивидуальный, ы?"
,,,Не супер
,,,Это не влияет на команду
,,Это не влияет на команду,так балы же суммируются
,,,Вот именно
,,Вот именно,"там формула есть, в общий рейтинг"
,Вот именно,"там формула есть, в общий рейтинг",Главное не грустить
Вот именно,"там формула есть, в общий рейтинг",Главное не грустить,"или это работает так, что у каждого свой индивидуальный бал ?"
,,,"ну в прошлом году у нас не получилось, но лучше уточнить вам у организаторов"
,,"ну в прошлом году у нас не получилось, но лучше уточнить вам у организаторов",это вроде всегда на всех профилях было
,,,"если чел не писал за 10-11, он не может с вами играть, только с другими 8-9"
,,"если чел не писал за 10-11, он не может с вами играть, только с другими 8-9",:(
,"если чел не писал за 10-11, он не может с вами играть, только с другими 8-9",:(,Грустить нельзя
"если чел не писал за 10-11, он не может с вами играть, только с другими 8-9",:(,Грустить нельзя,"Это условие почему-то существует, верно."
,,,"Чтобы пройти в финал с вами он должен был в первом этапе писать 10-11, разве не так?"
,,"Чтобы пройти в финал с вами он должен был в первом этапе писать 10-11, разве не так?",Кто мешает просто команды соединить и все. Люди будут писать за максимальный класс
,"Чтобы пройти в финал с вами он должен был в первом этапе писать 10-11, разве не так?",Кто мешает просто команды соединить и все. Люди будут писать за максимальный класс,"Там вроде разделение, не?"
,,,"Прошел не с нами. Не все же едут на финал, получаются неполные тимы"
,,"Прошел не с нами. Не все же едут на финал, получаются неполные тимы","Там разделение есть >=10 & <10
Если он в >=10, то значит он писал в первом туре 10-11"
,,,Иначе он в <10
,,Иначе он в <10,"Это да, я поэтому и интересуюсь"
,,,"поидее
Ну если он прошел в 10-11 -> в финале пишет 10-11"
,,,"Типа если ты за 9 писал, то не можешь в 10-11 участвовать"
,,"Типа если ты за 9 писал, то не можешь в 10-11 участвовать","Я не орг, так что сказать точно не могу, но мне кажется команды могут спокойно соединить"
,"Типа если ты за 9 писал, то не можешь в 10-11 участвовать","Я не орг, так что сказать точно не могу, но мне кажется команды могут спокойно соединить",Разве выше Алексей не по этому поводу говорил что нельзя? Я уже запутался
,,,Возможно
,,Возможно,это честно наш сокомандник
,Возможно,это честно наш сокомандник,А есть ли он в списке ожидания? Нет.
Возможно,это честно наш сокомандник,А есть ли он в списке ожидания? Нет.,сек
,,,И что мешает добавиться ещё раз
,,И что мешает добавиться ещё раз,срок истек
,,,у пригласительной ссылки
,,у пригласительной ссылки,"https://t.me/+EvAZXI9APOU0ZTFi

Точно?"
,у пригласительной ссылки,"https://t.me/+EvAZXI9APOU0ZTFi

Точно?","да, эту скидывал"
,,,мб он в бане?
,,мб он в бане?,"Верно
Ник обратно менял)
Убрал"
,мб он в бане?,"Верно
Ник обратно менял)
Убрал",Ура
,,,теперь лучшая аниме тян есть в нашем чате
,,теперь лучшая аниме тян есть в нашем чате,"О, я тебя знаю"
,теперь лучшая аниме тян есть в нашем чате,"О, я тебя знаю",А меня?
теперь лучшая аниме тян есть в нашем чате,"О, я тебя знаю",А меня?,"О, и тебя, я по-моему с тобой на инопе в одно номере жил"
"О, я тебя знаю",А меня?,"О, и тебя, я по-моему с тобой на инопе в одно номере жил","Не, не жил)"
А меня?,"О, и тебя, я по-моему с тобой на инопе в одно номере жил","Не, не жил)","А, тогда я тебя не знаю"
,,,(я про аску конечно же)
,,(я про аску конечно же),
,,,А меня
,,А меня,И тебя тоже знаю)
,А меня,И тебя тоже знаю),"Чисто ради прикола, а меня?)"
А меня,И тебя тоже знаю),"Чисто ради прикола, а меня?)",Ты кто?
И тебя тоже знаю),"Чисто ради прикола, а меня?)",Ты кто?,
,,,who
,,,"Если что, можно будет потом познакомиться :3"
,,"Если что, можно будет потом познакомиться :3",а меня
,"Если что, можно будет потом познакомиться :3",а меня,"Неть, я ни знать ктьо ти("
,,,а со мной познакомишься??
,,а со мной познакомишься??,"Ого, а давай <3"
,,,Все познакомимся
,,Все познакомимся,Знакомиться со знакомыми всегда весело
,,,хи-хи
,,хи-хи,"ты кто, у меня с тобой 51..."
,хи-хи,"ты кто, у меня с тобой 51...",49 же вроде
,,,3 общих чата только (
,,3 общих чата только (,8 💪🏿
,3 общих чата только (,8 💪🏿,C тобой 14 👀
3 общих чата только (,8 💪🏿,C тобой 14 👀,меня тут только ти знаешь
,,,Я знаю всех в чате поименно
,,Я знаю всех в чате поименно,А кто такой Алексей Егоров?)
,Я знаю всех в чате поименно,А кто такой Алексей Егоров?),Менад
Я знаю всех в чате поименно,А кто такой Алексей Егоров?),Менад,вы когда-нибудь видели Алексея Егорова и Менада вместе в одной комнате?
,,,😳
,,😳,сомнительное достижение
,😳,сомнительное достижение,Алексей Егоров
😳,сомнительное достижение,Алексей Егоров,секрет всего Инфобез сообщества
сомнительное достижение,Алексей Егоров,секрет всего Инфобез сообщества,(шутка)
Алексей Егоров,секрет всего Инфобез сообщества,(шутка),😱
секрет всего Инфобез сообщества,(шутка),😱,там сингулярность возникнет
(шутка),😱,там сингулярность возникнет,слова излишни...
,,,а кстати это кто...
,,а кстати это кто...,Легенда
,,,меня слышно?
,,меня слышно?,я то знаю этот случай и это моя гифка)
,,,Артём
,,,это Росстелекомовский человек имею в виду или НТОшный
,,это Росстелекомовский человек имею в виду или НТОшный,мы уже теперь никогда не узнаем
,,,"по моему ни тот, ни тот"
,,,у меня запись этого стрима есть))
,,у меня запись этого стрима есть)),крутой крутой
,,,там правда на заднем плане наш ор с этой ситуации
,,,228 69.txt
,,228 69.txt,не знаешь — не шути 😒
,228 69.txt,не знаешь — не шути 😒,ой всё
228 69.txt,не знаешь — не шути 😒,ой всё,"а может, сюда шутки про призера-победа портируем, кстати?)"
не знаешь — не шути 😒,ой всё,"а может, сюда шутки про призера-победа портируем, кстати?)",неееееееет
ой всё,"а может, сюда шутки про призера-победа портируем, кстати?)",неееееееет,дааааааааа
,,,228 69
,,228 69,"не, это первая версия"
,,,"правильно, знай свое место"
,,"правильно, знай свое место","ахахаха это твое первое и единственное сообщение в этой группе, серьезно? хд"
,"правильно, знай свое место","ахахаха это твое первое и единственное сообщение в этой группе, серьезно? хд",
,,,туда его
,,,"так не смешно же, тут даже меня не знает никто, а кто знает и так в курсе форса"
,,"так не смешно же, тут даже меня не знает никто, а кто знает и так в курсе форса",Так мы расскажем
,,,Будут знать
,,Будут знать,"круто, спасибо"
,,,"для подавляющего большинства людей в этом чате я просто несмешной чел, который тоже прошел на финал нто"
,,"для подавляющего большинства людей в этом чате я просто несмешной чел, который тоже прошел на финал нто","У тебя больше общих чатах, чем у большинства челов в чате, ты явно круче. + Ты вроде на иннопе был"
,"для подавляющего большинства людей в этом чате я просто несмешной чел, который тоже прошел на финал нто","У тебя больше общих чатах, чем у большинства челов в чате, ты явно круче. + Ты вроде на иннопе был","хд, реально"
"для подавляющего большинства людей в этом чате я просто несмешной чел, который тоже прошел на финал нто","У тебя больше общих чатах, чем у большинства челов в чате, ты явно круче. + Ты вроде на иннопе был","хд, реально",11?!
,,,"душно, да?"
,,"душно, да?",великое молчание
,"душно, да?",великое молчание,молчание — знак согласия
,,,"люблю тебя бро, не принимай близко к сердцу"
,,"люблю тебя бро, не принимай близко к сердцу",тоже верно
,"люблю тебя бро, не принимай близко к сердцу",тоже верно,"да-да это я, спасибо"
,,,так мало.......
,,так мало.......,Замазанный чат интимных знакомств?
,так мало.......,Замазанный чат интимных знакомств?,хз хочет ли он его палить остальным
,,,розмайнд
,,розмайнд,"А, это со мной"
,розмайнд,"А, это со мной",это с evoleo
розмайнд,"А, это со мной",это с evoleo,это с evoleo
,,,инномомент
,,инномомент,гей-знакомства лицей иннополис без смс и регистрации
,,,"тебе не нужен чат интимных гей-знакомств, когда у тебя есть парень, шаришь?)
Да"
,,"тебе не нужен чат интимных гей-знакомств, когда у тебя есть парень, шаришь?)
Да",Ну да
,"тебе не нужен чат интимных гей-знакомств, когда у тебя есть парень, шаришь?)
Да",Ну да,я абсолютный победитель
,,,а я
,,а я,список продолжается далеко вниз
,а я,список продолжается далеко вниз,здесь представлен стандартный путь деградации личности
а я,список продолжается далеко вниз,здесь представлен стандартный путь деградации личности,там ближе к концу это
