context_3,context_2,context_1,response
,,,Участникам на почту
,,Участникам на почту,У меня пусто
,Участникам на почту,У меня пусто,Скинули сегодня днем
Участникам на почту,У меня пусто,Скинули сегодня днем,восстания
У меня пусто,Скинули сегодня днем,восстания,"С какой почты пришло?
Хм, понял
Передали инфу региональным партнёрам"
Скинули сегодня днем,восстания,"С какой почты пришло?
Хм, понял
Передали инфу региональным партнёрам","Кстати, а что по поводу сопровождающих
Это будут от нто ребята?"
восстания,"С какой почты пришло?
Хм, понял
Передали инфу региональным партнёрам","Кстати, а что по поводу сопровождающих
Это будут от нто ребята?","Сопровождение только в мск будет, во время трансфера и на всех мероприятиях"
,,,"Понял, а мы можем со своим «наставником» так скажем поехать?"
,,"Понял, а мы можем со своим «наставником» так скажем поехать?","Поехать можно, но для него ВЕРОЯТНО ничего организовано не будет, т.е. все за свой счёт и не факт, что дадут посещать мероприятия вместе"
,"Понял, а мы можем со своим «наставником» так скажем поехать?","Поехать можно, но для него ВЕРОЯТНО ничего организовано не будет, т.е. все за свой счёт и не факт, что дадут посещать мероприятия вместе","За свой счет это понятно, ну это уже поинтереснее))
Спасибки ☺️"
,,,Мне ничего не приходило
,,Мне ничего не приходило,какие люди
,Мне ничего не приходило,какие люди,хахаха
Мне ничего не приходило,какие люди,хахаха,"Нет) У меня нет
В моем регионе есть вероятность отказа от оплаты проезда)"
какие люди,хахаха,"Нет) У меня нет
В моем регионе есть вероятность отказа от оплаты проезда)",Добрый день. Может кто-нибудь объяснить что должно было прийти на почту?
,,,"Ну это только для тех, кто из СПб"
,,"Ну это только для тех, кто из СПб","я из спб, мне не пришло"
,,,"мне только это пришло, а должно было что то еще?"
,,"мне только это пришло, а должно было что то еще?",Вроде бы нет
,,,Только сейчас его на почте нашёл
,,Только сейчас его на почте нашёл,++
,,,Ещё же не поздно отправить эту форму?
,,Ещё же не поздно отправить эту форму?,"нет, не поздно"
,Ещё же не поздно отправить эту форму?,"нет, не поздно",Что нет? Поздно?
Ещё же не поздно отправить эту форму?,"нет, не поздно",Что нет? Поздно?,скинь ссылку на форму пж
,,,У вообще его нет
,,У вообще его нет,не поздно
,,,"Еее, мой регион переложил ответственность за проезд на школу -> на учеников"
,,"Еее, мой регион переложил ответственность за проезд на школу -> на учеников",А что если не писали нечего?
,"Еее, мой регион переложил ответственность за проезд на школу -> на учеников",А что если не писали нечего?,Хз)
,,,"Скиньте пожалуйста номер, откуда звонили и узнавали про участие и питание на олимпиаде"
,,"Скиньте пожалуйста номер, откуда звонили и узнавали про участие и питание на олимпиаде","Привет! 
Горячая линия НТО: 8-800-511-59-09"
,"Скиньте пожалуйста номер, откуда звонили и узнавали про участие и питание на олимпиаде","Привет! 
Горячая линия НТО: 8-800-511-59-09",Спасибо
,,,"надо было онлайн финал и оффлайн награждение делать
Может не было бы тогда такого"
,,"надо было онлайн финал и оффлайн награждение делать
Может не было бы тогда такого","Есть люди, которые летят в другие города первый раз, не нужно забывать и о них"
,"надо было онлайн финал и оффлайн награждение делать
Может не было бы тогда такого","Есть люди, которые летят в другие города первый раз, не нужно забывать и о них","Проблема в том, что в этом году НТО не отвечает за транспорт до города награждения. Переложили ответственность на регионы, но а денег нет.

В моем случае ситуация не очень критичная, ~7к туда и обратно, но я знаю людей, которым лететь во Владивосток в ОДНУ сторону ~20к. Туда сюда 40к, команда 3 человека. Вместе 120к. Откуда возьмут деньги? Очень хороший вопрос"
"надо было онлайн финал и оффлайн награждение делать
Может не было бы тогда такого","Есть люди, которые летят в другие города первый раз, не нужно забывать и о них","Проблема в том, что в этом году НТО не отвечает за транспорт до города награждения. Переложили ответственность на регионы, но а денег нет.

В моем случае ситуация не очень критичная, ~7к туда и обратно, но я знаю людей, которым лететь во Владивосток в ОДНУ сторону ~20к. Туда сюда 40к, команда 3 человека. Вместе 120к. Откуда возьмут деньги? Очень хороший вопрос","может поэтому на регионы где оплата дешевле повесили ответственность за транспортировку на них, чтобы на чуваков из дальних уголков россии хватило денег?)"
,,,И?
,,И?,"для людей который живут далеко от мск, оффлайн награждение не особо важно, думаю"
,И?,"для людей который живут далеко от мск, оффлайн награждение не особо важно, думаю",Почему не важно?
,,,ну так для всех будет удобней если финал будет онлайн
,,ну так для всех будет удобней если финал будет онлайн,Т.е в этом году в некоторых регионах люди будут сами платить за передвижение на олимпиаду?
,,,"За свой регион скажу точно - да, за свой счёт)"
,,"За свой регион скажу точно - да, за свой счёт)",ты из какого региона?
,"За свой регион скажу точно - да, за свой счёт)",ты из какого региона?,Чувашская Республика
,,,А ты заявлял об этом на горячую линию?
,,А ты заявлял об этом на горячую линию?,Планировал сегодня
,,,Но одноклассник(финалист другого профиля) вроде как звонил
,,Но одноклассник(финалист другого профиля) вроде как звонил,"Я бы уточнил, Максим. Мы сейчас общались с коллегой и горячая линия такие вопросы отрабатывает"
,Но одноклассник(финалист другого профиля) вроде как звонил,"Я бы уточнил, Максим. Мы сейчас общались с коллегой и горячая линия такие вопросы отрабатывает","Хорошо, позвоню"
,,,"Отправили в школу письмо, что ""ищите инвесторов и спонсоров"""
,,,класс в спаме было
,,класс в спаме было,+
,,,"А вообще всем должно было прийти или нет?
Подскажите пожалуйста"
,,"А вообще всем должно было прийти или нет?
Подскажите пожалуйста",из спб ток вроде
,,,Спасибо
,,Спасибо,Узнавай сам
,,,А на финале выдадут ноутбук?
,,А на финале выдадут ноутбук?,Для решения задачи на площадке для соревнования да
,,,Если да то хотелось бы узнать с какой OC
,,Если да то хотелось бы узнать с какой OC,Kali Linux
,,,"А решение финала нужно будет там уже с нуля написать, или можно заранее подготовить код?"
,,"А решение финала нужно будет там уже с нуля написать, или можно заранее подготовить код?",А ты знаешь задачу финала?
,,,Можешь поделиться?
,,,"Ну, хакатон был на image captioning, делаем логические выводы"
,,"Ну, хакатон был на image captioning, делаем логические выводы",Может video
,,,"Для кого то video, для кого то image"
,,"Для кого то video, для кого то image","Да, но я решал через image captioning
Но, в общем, ты прав"
,,,какие есть курсы похожие на мфти dl?
,,какие есть курсы похожие на мфти dl?,стэндфордские
,какие есть курсы похожие на мфти dl?,стэндфордские,"Особенно те, которые Карпатым велись"
какие есть курсы похожие на мфти dl?,стэндфордские,"Особенно те, которые Карпатым велись","ну тут кажется, что лучше просто посмотреть отдельные ролики от него)"
,,,Тинькофф dl топ. Но туда поступить нужно
,,Тинькофф dl топ. Но туда поступить нужно,"самый топ, как по мне
это тоже топ"
,,,он бэкпроп прям хорошо для новичков раскуривает
,,он бэкпроп прям хорошо для новичков раскуривает,+
,,,Сейчас его видео - топ
,,Сейчас его видео - топ,"ну да, после того как ушёл в стабилити
начал прикольные штуки делать"
,,,Моему школьному завучу позвонили и сказали что сами будем платить
,,Моему школьному завучу позвонили и сказали что сами будем платить,...
,,,"Это так?
За поездку
В Иркутске"
,,"Это так?
За поездку
В Иркутске",То же самое сказали моему другу из Волгограда
,"Это так?
За поездку
В Иркутске",То же самое сказали моему другу из Волгограда,"Елки палки
10к на поезде туда и 10 обратно походу"
"Это так?
За поездку
В Иркутске",То же самое сказали моему другу из Волгограда,"Елки палки
10к на поезде туда и 10 обратно походу","Все еще есть возможность сделать финал онлайн, чтобы люди не платили из своих карманов за проезд"
То же самое сказали моему другу из Волгограда,"Елки палки
10к на поезде туда и 10 обратно походу","Все еще есть возможность сделать финал онлайн, чтобы люди не платили из своих карманов за проезд",Мне завуч сказала в течение часа сказать поедим мы или нет
,,,не надо онлайн))) у нас билеты невозвратные)))
,,не надо онлайн))) у нас билеты невозвратные))),"Так их же вроде покупают всем, или вы за свой счёт брали?"
,не надо онлайн))) у нас билеты невозвратные))),"Так их же вроде покупают всем, или вы за свой счёт брали?",Там вроде участнику полностью всё оплачивают
,,,"Билет участнику купила школа, мы оплатили билеты сопровождающему до Москвы."
,,"Билет участнику купила школа, мы оплатили билеты сопровождающему до Москвы.","Интересно, когда уже все четко скажут… осталось три недели, а билеты покупать надо заранее."
,"Билет участнику купила школа, мы оплатили билеты сопровождающему до Москвы.","Интересно, когда уже все четко скажут… осталось три недели, а билеты покупать надо заранее.",мне сказали в моем регионе оплачивают только группам от 5 человек…
"Билет участнику купила школа, мы оплатили билеты сопровождающему до Москвы.","Интересно, когда уже все четко скажут… осталось три недели, а билеты покупать надо заранее.",мне сказали в моем регионе оплачивают только группам от 5 человек…,"Ну круто, чо"
"Интересно, когда уже все четко скажут… осталось три недели, а билеты покупать надо заранее.",мне сказали в моем регионе оплачивают только группам от 5 человек…,"Ну круто, чо",Может онлайн финал решит все вопросы?
мне сказали в моем регионе оплачивают только группам от 5 человек…,"Ну круто, чо",Может онлайн финал решит все вопросы?,"Всем привет! Участники не должны тратить деньги на проезд до финала. Нам нужно время, чтобы разобраться в ситуации, в течение дня вернёмся.
Друзья, коллеги из НТО еще раз подтвердили, что по нашему профилю проезд будет производиться за счет организаторов, работа колл-центра в этой части также скорректирована. 

В настоящий момент всем, кто получил  неудовлетворительный ответ в части дороги от колл-центра/школы/региона/кого-то еще, нужно повтороно обратиться в колл-центр и, сославшись на организаторов, уточнить информацию по проезду."
"Ну круто, чо",Может онлайн финал решит все вопросы?,"Всем привет! Участники не должны тратить деньги на проезд до финала. Нам нужно время, чтобы разобраться в ситуации, в течение дня вернёмся.
Друзья, коллеги из НТО еще раз подтвердили, что по нашему профилю проезд будет производиться за счет организаторов, работа колл-центра в этой части также скорректирована. 

В настоящий момент всем, кто получил  неудовлетворительный ответ в части дороги от колл-центра/школы/региона/кого-то еще, нужно повтороно обратиться в колл-центр и, сославшись на организаторов, уточнить информацию по проезду.",А проживание участников за свой счёт?
Может онлайн финал решит все вопросы?,"Всем привет! Участники не должны тратить деньги на проезд до финала. Нам нужно время, чтобы разобраться в ситуации, в течение дня вернёмся.
Друзья, коллеги из НТО еще раз подтвердили, что по нашему профилю проезд будет производиться за счет организаторов, работа колл-центра в этой части также скорректирована. 

В настоящий момент всем, кто получил  неудовлетворительный ответ в части дороги от колл-центра/школы/региона/кого-то еще, нужно повтороно обратиться в колл-центр и, сославшись на организаторов, уточнить информацию по проезду.",А проживание участников за свой счёт?,"Нет, проживание, питание и транспорт по программе - за счет организаторов"
"Всем привет! Участники не должны тратить деньги на проезд до финала. Нам нужно время, чтобы разобраться в ситуации, в течение дня вернёмся.
Друзья, коллеги из НТО еще раз подтвердили, что по нашему профилю проезд будет производиться за счет организаторов, работа колл-центра в этой части также скорректирована. 

В настоящий момент всем, кто получил  неудовлетворительный ответ в части дороги от колл-центра/школы/региона/кого-то еще, нужно повтороно обратиться в колл-центр и, сославшись на организаторов, уточнить информацию по проезду.",А проживание участников за свой счёт?,"Нет, проживание, питание и транспорт по программе - за счет организаторов",Спасибо)
,,,А сопровождающий?
,,А сопровождающий?,"Программой сопровождающие не предусматриваются. Если они хотят приехать, важно понимать, что они не смогут участвовать в большинстве мероприятий. Дорога, проживание, питание и т.п. также за их счет."
,,,А как тогда с билетами быть?
,,,Надо же их вместе с сопровождающим брать
,,Надо же их вместе с сопровождающим брать,По таким деталям лучше обращаться в колл-центр
,,,"Да, билеты покупала школа, сопровождающим до Москвы назначили учителя, билеты покупались одновременно участнику и сопровождающему, за сопровождающего деньги перевела перед покупкой билета."
,,"Да, билеты покупала школа, сопровождающим до Москвы назначили учителя, билеты покупались одновременно участнику и сопровождающему, за сопровождающего деньги перевела перед покупкой билета.","Наталья, а вы из какого региона?"
,"Да, билеты покупала школа, сопровождающим до Москвы назначили учителя, билеты покупались одновременно участнику и сопровождающему, за сопровождающего деньги перевела перед покупкой билета.","Наталья, а вы из какого региона?","Обратно сын возвращается в один день с участником другого направления, там будет один сопровождающий, школы его ""оплатили"" пополам."
,,,"Башкортостан. Билеты на 26.02 - самые дорогие оказались, сопровождающему туда-обратно 9948."
,,,"Всем привет, подскажите пожалуйста актуальную дату проведения олимпиады"
,,"Всем привет, подскажите пожалуйста актуальную дату проведения олимпиады","26.02-день заезда
04.03-день выезда"
,"Всем привет, подскажите пожалуйста актуальную дату проведения олимпиады","26.02-день заезда
04.03-день выезда","С колл-центром разберёмся, эти даты корректные"
,,,Есть информация о месте проживания?
,,Есть информация о месте проживания?,"У меня итоговой нет, лучше уточнить в колл-центре"
,,,На день позже же было
,,,"Из колл-центра звонили, говорили о переносе, разве нет?"
,,"Из колл-центра звонили, говорили о переносе, разве нет?","Да, перенесли с 27 на 26"
,"Из колл-центра звонили, говорили о переносе, разве нет?","Да, перенесли с 27 на 26",Разве не наоборот?
"Из колл-центра звонили, говорили о переносе, разве нет?","Да, перенесли с 27 на 26",Разве не наоборот?,"Как один из составителей расписания, точно говорю 😅"
"Да, перенесли с 27 на 26",Разве не наоборот?,"Как один из составителей расписания, точно говорю 😅","Мне просто звонили сказали, что 27"
Разве не наоборот?,"Как один из составителей расписания, точно говорю 😅","Мне просто звонили сказали, что 27",+
,,,все правильно сказали
,,все правильно сказали,+
,все правильно сказали,+,+
,,,Чет неудобно получается
,,Чет неудобно получается,хаски отменяется получается(
,Чет неудобно получается,хаски отменяется получается(,(((
,,,я уже билет вернул
,,,"Ищу сокомандника, мои преимущества:
занял неплохое место в хакатоне, за время хакатона появилось много наработок для участия в финале, изучил много статей и моделей для задачи video captionong
писать в лс"
,,"Ищу сокомандника, мои преимущества:
занял неплохое место в хакатоне, за время хакатона появилось много наработок для участия в финале, изучил много статей и моделей для задачи video captionong
писать в лс",для участия в финале нужен парсер получше)
,"Ищу сокомандника, мои преимущества:
занял неплохое место в хакатоне, за время хакатона появилось много наработок для участия в финале, изучил много статей и моделей для задачи video captionong
писать в лс",для участия в финале нужен парсер получше),"Можно писать парсеры так, чтобы они не работали. Тогда точно придется ии изучать"
,,,Торты готовить умеешь?
,,Торты готовить умеешь?,готовлю лучшие торты в городе
,Торты готовить умеешь?,готовлю лучшие торты в городе,"У нас ожидается съезд пекарей со всей страны, точно осилишь конкуренцию?"
Торты готовить умеешь?,готовлю лучшие торты в городе,"У нас ожидается съезд пекарей со всей страны, точно осилишь конкуренцию?","мама говорит, печь торты - мое призвание"
,,,"да, знаю) парсер напишу))"
,,"да, знаю) парсер напишу))","Либо индусы, тоже хорошая тема"
,,,"могу быть вашим личным индусом, возьмите в команду пж"
,,"могу быть вашим личным индусом, возьмите в команду пж",Какой класс?
,"могу быть вашим личным индусом, возьмите в команду пж",Какой класс?,11
,,,"Добавьте в стикер пак, пожалуйста"
,,"Добавьте в стикер пак, пожалуйста","Ищу команду 8-9 класс. Из достижений: Финалист AIIJC 2021, трек - ИИ в нейромаркетинге; Участник конференции AIJ 2022, была на интервью школьников; Ну и ещё первое место на международном фестивале технострелка, трек - IT. Что умею: базовые алгоритмы машинного обучения, библиотеки pandas, numpy, pyTorch, sikitLearn, Matplotlib, классификация текста, изображений, сегментация, детекция изображений. На данный момент прохожу вторую часть Deep Learning School."
,,,"А на Олимпиаду можно свой ноут брать?
Или использовать можно только тот, который выдадут на соревнованиях?"
,,"А на Олимпиаду можно свой ноут брать?
Или использовать можно только тот, который выдадут на соревнованиях?",свой точно можно
,,,А его выдадут?
,,,А что конкретно на финале будет? VQA или Video captioning?
,,А что конкретно на финале будет? VQA или Video captioning?,определить название торта  и написать рецепт по фотке
,А что конкретно на финале будет? VQA или Video captioning?,определить название торта  и написать рецепт по фотке,определить его калорийность по видео готовки
,,,конкурс на лучшего пекаря
,,конкурс на лучшего пекаря,По кулинарному видео выдать рецепт торта
,конкурс на лучшего пекаря,По кулинарному видео выдать рецепт торта,video captioning на датасете YouCook2)
,,,Тогда YouCake2
,,Тогда YouCake2,YouCake2 еще в продакшн не вышел
,,,"Будет задача собрать датасет YouCake2 и определить название, рецепт и калорийность торта по видео, где его готовят"
,,"Будет задача собрать датасет YouCake2 и определить название, рецепт и калорийность торта по видео, где его готовят",А потом к последнему дню приготовить его.
,,,Дааа и именно по этому рецепту
,,Дааа и именно по этому рецепту,С ограниченным количеством ингредиентов.
,Дааа и именно по этому рецепту,С ограниченным количеством ингредиентов.,Королевская битва
,,,"Кстати, а в каком отеле мы жить будем?"
,,"Кстати, а в каком отеле мы жить будем?",И чтобы был хруст безе
,,,"Ребят, я все еще ищу команду, у меня есть большое количество наработок по хакатону и по задаче предполагаемого финала, я успел прочитать много статей по задаче video captioning'а и у меня есть большое количество идей, которые еще можно реализовать. К тому же я пеку вкусные тортики и готов парсить ручками все, что вы пожелаете"
,,"Ребят, я все еще ищу команду, у меня есть большое количество наработок по хакатону и по задаче предполагаемого финала, я успел прочитать много статей по задаче video captioning'а и у меня есть большое количество идей, которые еще можно реализовать. К тому же я пеку вкусные тортики и готов парсить ручками все, что вы пожелаете",7/10
,"Ребят, я все еще ищу команду, у меня есть большое количество наработок по хакатону и по задаче предполагаемого финала, я успел прочитать много статей по задаче video captioning'а и у меня есть большое количество идей, которые еще можно реализовать. К тому же я пеку вкусные тортики и готов парсить ручками все, что вы пожелаете",7/10,Оценка?
"Ребят, я все еще ищу команду, у меня есть большое количество наработок по хакатону и по задаче предполагаемого финала, я успел прочитать много статей по задаче video captioning'а и у меня есть большое количество идей, которые еще можно реализовать. К тому же я пеку вкусные тортики и готов парсить ручками все, что вы пожелаете",7/10,Оценка?,Да
,,,Пахлаву умеешь готовить?
,,Пахлаву умеешь готовить?,Жаль что не эчпочмак -_-
,Пахлаву умеешь готовить?,Жаль что не эчпочмак -_-,Хуплу топ
,,,Не уточнил откуда статьи
,,Не уточнил откуда статьи,"Медиум, архив и тд"
,,,да
,,да,Какую?
,да,Какую?,вкусную
,,,Так хотелось.
,,,тоже умею
,,тоже умею,Я то уже в команде.
,,,Эх
,,Эх,у кого нибудь есть инфа по отелю? или звонить придетсч
,Эх,у кого нибудь есть инфа по отелю? или звонить придетсч,"А на почту вроде что-то по документам разослали
Надо отправить всё и дадут инфу наверное"
Эх,у кого нибудь есть инфа по отелю? или звонить придетсч,"А на почту вроде что-то по документам разослали
Надо отправить всё и дадут инфу наверное",мне ток по бдимо скинули сегодня
у кого нибудь есть инфа по отелю? или звонить придетсч,"А на почту вроде что-то по документам разослали
Надо отправить всё и дадут инфу наверное",мне ток по бдимо скинули сегодня,Мне вчера скинули по ии
,,,"черт, вчера родительское собрание было??"
,,"черт, вчера родительское собрание было??",в письме так сказано?
,,,у меня все письма нто в спам шли
,,у меня все письма нто в спам шли,"Реально?
Блииин
Я тож пропустила"
,,,А мне даже не приходило....
,,А мне даже не приходило....,это только для СПб
,,,"Аа, ну всё тогда"
,,,мне одному такое не пришло письмо? зато по бдимо пришло
,,мне одному такое не пришло письмо? зато по бдимо пришло,"+, пришло, только по АТС"
,мне одному такое не пришло письмо? зато по бдимо пришло,"+, пришло, только по АТС",звонил уже?
,,,"+, пришло только по ИРС"
,,"+, пришло только по ИРС","klacc
тоже лежии"
,"+, пришло только по ИРС","klacc
тоже лежии","Нет, у меня тоже
Я им на почту написал"
,,,а как скачать?(
,,а как скачать?(,хочешь заплати мне и я тебе скину
,,,плати плати
,,плати плати,Можно сохранить на яндекс диск и с диска скачать
,,,сохранить на Ядиск и потом скачать вроде можно
,,сохранить на Ядиск и потом скачать вроде можно,нет
,,,про+
,,про+,да.
,,,спасибо!
,,спасибо!,:D
,,,обогнали
,,,"А если не все документы отправились, а отправить больше нельзя, то куда отправлять?"
,,"А если не все документы отправились, а отправить больше нельзя, то куда отправлять?",Звонить 88005115909
,,,.
,,.,Такой же вопрос
,.,Такой же вопрос,"10-18 будни
Но можно попытать удачу в субботу
У меня как-то раз получилось"
.,Такой же вопрос,"10-18 будни
Но можно попытать удачу в субботу
У меня как-то раз получилось","Ребят, а есть кто ещё не в команде 9 класс?"
,,,А ноутбуки будут давать?
,,А ноутбуки будут давать?,пейджеры дадут
,,,"нет, будут забирать"
,,"нет, будут забирать","нет, купить можно будет у них"
,,,"колаб с телефона можно запускать, так что ноуты не нужны"
,,"колаб с телефона можно запускать, так что ноуты не нужны",телефон дадут?
,,,"будем писать код на листочке, как в старые добрые"
,,"будем писать код на листочке, как в старые добрые",Ишь ты
,"будем писать код на листочке, как в старые добрые",Ишь ты,"Проговаривать будем, на листочки денег жалко"
"будем писать код на листочке, как в старые добрые",Ишь ты,"Проговаривать будем, на листочки денег жалко","Ну как раз, сейчас дефицит"
,,,вручную размечать
,,вручную размечать,будем обучать сокомандника и его мозг сабмитить
,,,"У кого идея лучше, тот и получит приз"
,,"У кого идея лучше, тот и получит приз","В этом году весь бюджет ушел на то, чтобы доставить сеню в москву, поэтому победителям приз павербанк"
,,,Будут ли в отеле нарды?
,,Будут ли в отеле нарды?,Я могу привезти цитадели
